표현 장면명,REF 코드,감정 증거,대사·행동 배열,대표성,마지막 검토,상태,상태 변화,상황군,식별자 비노출,역할 표기,원문 위치,원문 장면,장면 조건,장면 종료 방식,정리문 제외,정보 공개 순서,진입 방식,표면 모방 위험,표현 목적,표현 범주,후속 회수
새 노동의 가치를 설교하지 않고 기존 인정 체계에 연결한 뒤 장점과 결함을 함께 평가하는 장면,REF-46,구성원들은 전투가 아닌 작업에서도 환호하고 경쟁한다. 대표는 선택지 확대를 기뻐하지만 평가 뒤 뚜렷한 기술 결함을 보고 고민한다.,비전투 시험에 대한 열광 → 보상·칭찬의 원인 공개 → 기존 인정 욕구 해석 → 새 직업 선택 가능성 인식 → 실제 작업 관찰 → 장점 평가 → 결함 평가 → 교육 문제 제기,대표,2026년 8월 5일,준비,전투만 인정받는 집단 → 비전투 노동도 명예와 보상을 제공 → 직업 선택지 생성 → 현재 기술 한계 확인,"교육·전승, 성장·실패, 조직·제도, 평가·판정",Yes,"대표, 실무자 A, 내부 구성원들","650화 311,053~311,155행",비전투 노동을 기존 인정 체계에 연결하고 장점과 결함을 함께 평가하는 장면 (%EB%B9%84%EC%A0%84%ED%88%AC%20%EB%85%B8%EB%8F%99%EC%9D%84%20%EA%B8%B0%EC%A1%B4%20%EC%9D%B8%EC%A0%95%20%EC%B2%B4%EA%B3%84%EC%97%90%20%EC%97%B0%EA%B2%B0%ED%95%98%EA%B3%A0%20%EC%9E%A5%EC%A0%90%EA%B3%BC%20%EA%B2%B0%ED%95%A8%EC%9D%84%20%ED%95%A8%EA%BB%98%20%ED%8F%89%EA%B0%80%ED%95%98%EB%8A%94%20%EC%9E%A5%EB%A9%B4%203b2baa79eaae817e98c9c3d627c3f397.csv),구성원의 기존 가치 기준은 강한 전투와 공개 인정에 묶여 있으나 비전투 기술을 지속적으로 배워야 함,새 직업의 가능성을 확인한 뒤 현재 실력만으로는 부족하다는 교육 문제로 종료,Yes,열의 → 보상 구조 → 욕망 해석 → 가능성 → 실제 능력의 장단점,대표가 비전투 작업 솜씨를 점검하러 온 사실이 구성원에게 공개됨,중간,"보상 지급, 성장 증명, 판정 확정, 한계 인정","공적 인정, 판정, 한계 인정, 행동 증명",외부 전문가의 교육·감독 단위를 도입하고 법적 고용 조직까지 만드는 장면으로 이어짐
비수록 정보를 공개해 사실성보다 은폐 범위와 타인의 다음 행동을 시험하는 장면,REF-46,"주인공은 첫 정보 선택을 오래 고민하고, 발화 뒤 상대들의 시선과 반응에서 누가 알고 있었는지 계산한다.",공개 정보 선택 → 비수록 생존 사실 발화 → 검증 장치 반응 → 참가자 놀람 → 제작자의 공유 범위 추론 → 연구·정치 행동 선언,대표,2026년 8월 5일,준비,주인공 독점 정보 → 공개 검증된 집단 정보 → 제작자의 은폐 범위에 대한 새 가설 → 여러 사람의 연구 목표와 행동 변화,"정보·비밀, 조직·제도, 평가·판정",Yes,"주인공, 제작자 A, 연구자들","309~310화 153,313~153,415행",기억에 없던 생존 정보를 공개해 은폐 범위와 후속 연구를 시험하는 장면 (%EA%B8%B0%EC%96%B5%EC%97%90%20%EC%97%86%EB%8D%98%20%EC%83%9D%EC%A1%B4%20%EC%A0%95%EB%B3%B4%EB%A5%BC%20%EA%B3%B5%EA%B0%9C%ED%95%B4%20%EC%9D%80%ED%8F%90%20%EB%B2%94%EC%9C%84%EC%99%80%20%ED%9B%84%EC%86%8D%20%EC%97%B0%EA%B5%AC%EB%A5%BC%20%EC%8B%9C%ED%97%98%ED%95%98%EB%8A%94%20%EC%9E%A5%EB%A9%B4%203b2baa79eaae81f28813cfe16f880a4f.csv),주인공만 아는 비수록 정보를 제작자와 다른 고인물 앞에서 공개할 범위를 정해야 함,정보의 정답 설명이 아니라 각 참석자의 연구·정치 행동이 시작되는 것으로 닫힘,Yes,한 문장 정보 → 장치 판정 → 시선과 침묵 → 공유 범위 추론 → 타인의 후속 행동,새 집회의 첫 정보 제공자로 지목됨,높음,"권리 생성, 신뢰 시험, 정보 공개, 판정 확정","시선 교환, 정보 공개, 판정, 행동 증명",숨겨진 역사 정보가 주인공 개인 지식에서 집단 연구와 세력 판단으로 확장됨
정석 성장 순서와 다른 현재 상태를 과거 선택의 연쇄 효과로 역산하는 장면,REF-46,익숙한 보상을 다시 만난 주인공은 단순한 중복에 멈추지 않고 처음 희귀 획득이 이후 전투를 가능하게 한 흐름을 떠올린다.,정석 대상 발견 → 기억 속 획득 순서 확인 → 현재는 이미 보유함을 인식 → 최초 희귀 획득 회상 → 이후 전투 가능성 연쇄 역산,대비,2026년 8월 5일,준비,정석 순서에서 벗어난 현재 → 데이터 오류처럼 보이는 차이 → 선행 선택이 만든 새로운 현실 경로로 재분류,"성장·실패, 전투·대결, 평가·판정",Yes,"주인공, 원정대","409화 199,279~199,311행",정석 성장 순서가 현실의 선행 선택 연쇄로 뒤집힌 것을 역산하는 장면 (%EC%A0%95%EC%84%9D%20%EC%84%B1%EC%9E%A5%20%EC%88%9C%EC%84%9C%EA%B0%80%20%ED%98%84%EC%8B%A4%EC%9D%98%20%EC%84%A0%ED%96%89%20%EC%84%A0%ED%83%9D%20%EC%97%B0%EC%87%84%EB%A1%9C%20%EB%92%A4%EC%A7%91%ED%9E%8C%20%EA%B2%83%EC%9D%84%20%EC%97%AD%EC%82%B0%ED%95%98%EB%8A%94%20%EC%9E%A5%EB%A9%B4%203b2baa79eaae817b9019ea52cf76a385.csv),정석 성장 경로의 대상을 처음 만났지만 보상은 더 이른 다른 경로에서 이미 획득함,현재 성장 순서의 시작점을 과거의 희귀 획득으로 되돌려 닫음,Yes,정석 기억 → 현재 차이 → 과거 획득 → 연쇄 효과,익숙한 몬스터를 처치하고 정수 획득 순서를 떠올림,중간,"성장 증명, 정보 공개, 판정 번복","시간 경과, 오해·재해석, 판정",이후 성장 선택도 정석 후보표가 아니라 현재 누적 조합과 삭제 비용으로 재계산됨
발견한 물품의 기능을 아는 범위와 모르는 범위로 나눠 전문가에게 넘기는 장면,REF-46,"새 물품에는 기대가 생기지만 현장 반응이 없고, 익숙한 물품도 외형 차이가 보이자 주인공과 전문가 모두 확정 표현을 피한다.",기록을 따라 물품 발견 → 귀속 확정 → 현장 반응 없음 → 전문 감정 이관 / 익숙한 이름 식별 → 외형 차이 발견 → 개량 가능성 언급 → 연구실 이관,대표,2026년 8월 5일,준비,물품 발견과 이름 식별 → 기능을 안다는 착각 가능 → 현재 물품의 판정 보류 → 전문가의 후속 조사권 생성,"정보·비밀, 평가·판정, 협상·거래",Yes,"주인공, 마법사 A, 전문가 B, 동료들","171~172화 82,855~82,925행 / 447화 220,681~220,733행","기억에 없던 물품을 확보한 뒤 현장 판정을 멈추고 전문가에게 넘기는 장면 (%EA%B8%B0%EC%96%B5%EC%97%90%20%EC%97%86%EB%8D%98%20%EB%AC%BC%ED%92%88%EC%9D%84%20%ED%99%95%EB%B3%B4%ED%95%9C%20%EB%92%A4%20%ED%98%84%EC%9E%A5%20%ED%8C%90%EC%A0%95%EC%9D%84%20%EB%A9%88%EC%B6%94%EA%B3%A0%20%EC%A0%84%EB%AC%B8%EA%B0%80%EC%97%90%EA%B2%8C%20%EB%84%98%EA%B8%B0%EB%8A%94%20%EC%9E%A5%EB%A9%B4%203b2baa79eaae819aa6d3d4bb73a73ad6.csv), 익숙한 물품의 형태 차이를 개량 가능성으로 남기고 전문가 연구에 넘기는 장면 (%EC%9D%B5%EC%88%99%ED%95%9C%20%EB%AC%BC%ED%92%88%EC%9D%98%20%ED%98%95%ED%83%9C%20%EC%B0%A8%EC%9D%B4%EB%A5%BC%20%EA%B0%9C%EB%9F%89%20%EA%B0%80%EB%8A%A5%EC%84%B1%EC%9C%BC%EB%A1%9C%20%EB%82%A8%EA%B8%B0%EA%B3%A0%20%EC%A0%84%EB%AC%B8%EA%B0%80%20%EC%97%B0%EA%B5%AC%EC%97%90%20%EB%84%98%EA%B8%B0%EB%8A%94%20%EC%9E%A5%EB%A9%B4%203b2baa79eaae818083b8ce5f0cb13151.csv)",미지 물품이거나 익숙한 이름을 가졌지만 형태·제조 주체가 달라 현재 효과를 확정할 수 없음,발견 보상은 유지하되 사용과 정확한 기능 판정을 후속 전문가에게 넘김,Yes,아는 정보 → 현재 불일치 → 추정의 한계 → 전문가 이관,기록 또는 비밀 보관함에서 물품을 발견함,중간,"권한 이동, 선택 유예, 정보 공개, 한계 인정","권한 이동, 선택 유예, 책임 분리, 판정",분석 결과가 나올 때까지 물품은 답이 아니라 보존된 질문으로 기능함
기억 속 선택지를 현실 비용으로 다시 계산하고 확신을 다음 회차에서 재개방하는 장면,REF-46,주인공은 효율을 중시하지만 실제 목숨이 걸리자 결정을 미루고 뒷걸음질한다. 입장 뒤 확신도 다음 회차 첫 문단에서 과거형으로 바뀐다.,기억 속 생계 제한 회상 → 도시 잔류 비용 계산 → 현재 신체 상태 비교 → 죽음 공포 확인 → 입장 선택 → 화말 확신 → 다음 회차 과거형 반전,대표,2026년 8월 5일,준비,기억상 즉시 실행 가능한 선택 → 현실 비용을 가진 가설 → 가장 합리적인 임시 선택 → 곧 검증될 확신,"시간·기다림, 위기·생존, 평가·판정",Yes,"주인공, 동료 A","3화 959~1,223행 + 4화 1,225~1,235행",생계와 죽음 비용을 함께 계산한 뒤 위험 구역에 들어가는 장면 (%EC%83%9D%EA%B3%84%EC%99%80%20%EC%A3%BD%EC%9D%8C%20%EB%B9%84%EC%9A%A9%EC%9D%84%20%ED%95%A8%EA%BB%98%20%EA%B3%84%EC%82%B0%ED%95%9C%20%EB%92%A4%20%EC%9C%84%ED%97%98%20%EA%B5%AC%EC%97%AD%EC%97%90%20%EB%93%A4%EC%96%B4%EA%B0%80%EB%8A%94%20%EC%9E%A5%EB%A9%B4%203b2baa79eaae81e6bcbdc75ba6301da6.csv),기억 속 정답이 있지만 현실의 생계·신체·죽음 비용이 추가되고 결정 마감이 임박함,선택은 확정하지만 다음 회차 첫 문단에서 그 확신을 과거형으로 바꿔 검증 대상으로 남김,Yes,기억 규칙 → 현실 비용 → 타인의 두려움 → 선택 → 확신 → 다음 회차 반전,현재 가장 큰 고민을 직접 명시한 뒤 가능한 생계 선택지를 비교함,높음,"선택 유예, 시간 압박, 판정 번복, 판정 확정","선택 유예, 시간 경과, 시간 압박, 판정",첫 대규모 전투에서 수치 밖 공포·구토·시전 반동이 실제 반례로 발생함
예상보다 좋은 현장 조건도 정찰·행동 제한·주변 확인 뒤에만 채택하는 장면,REF-46,동료가 일이 너무 잘 풀린다고 말하자 주인공은 농담으로 넘기지만 속으로 계속 병력과 주변 변수를 계산한다.,예상보다 적은 적 확인 → 원인 가설 → 추가 정찰 명령 → 회복 지시 → 소음 큰 기술 금지 → 불길함 대화 → 주변 변수 확인 → 공격 준비,대비,2026년 8월 5일,준비,유리한 징후 → 함정 가능성이 남은 미확정 정보 → 검증 절차 통과 → 행동 가능한 현재 판단,"위기·생존, 전투·대결, 평가·판정",Yes,"주인공, 동료 A, 지휘관 B, 척후조","409화 199,313~199,423행",예상보다 쉬운 적 배치를 낙관하지 않고 정찰과 행동 제한으로 검증하는 장면 (%EC%98%88%EC%83%81%EB%B3%B4%EB%8B%A4%20%EC%89%AC%EC%9A%B4%20%EC%A0%81%20%EB%B0%B0%EC%B9%98%EB%A5%BC%20%EB%82%99%EA%B4%80%ED%95%98%EC%A7%80%20%EC%95%8A%EA%B3%A0%20%EC%A0%95%EC%B0%B0%EA%B3%BC%20%ED%96%89%EB%8F%99%20%EC%A0%9C%ED%95%9C%EC%9C%BC%EB%A1%9C%20%EA%B2%80%EC%A6%9D%ED%95%98%EB%8A%94%20%EC%9E%A5%EB%A9%B4%203b2baa79eaae81ef9e3dc70fa3a2983f.csv),기억 속 작전 구도와 대체로 맞지만 실제 적 병력이 지나치게 적어 별도 함정 가능성이 남음,좋은 징후를 믿어서가 아니라 주변 변수를 다시 확인한 뒤 공격을 명령함,Yes,유리한 관측 → 의심 → 행동 제한 → 추가 관측 → 임시 확정,목표 거점을 관측하고 예상보다 적은 수비 병력을 확인함,중간,"시간 압박, 신뢰 보류, 책임 수용, 판정 확정","긴장 유지, 책임 분리, 판정, 행동 우선",선행 지식은 공격 방향을 주지만 실제 개시 시점은 현재 정찰 결과가 결정함
축소된 기억 좌표를 현지 증언과 대조해 시대차 가설로 바꾸는 장면,REF-46,"익숙한 장소를 찾지 못한 주인공은 당황하지만, 현지인의 오래된 기억을 듣자 즉시 감사하고 후속 조사 계획을 세운다.",기억 좌표 확인 → 실제 규모 불일치 → 주변 질문 → 다수의 무지 → 오래된 현지 증언 → 시대차 가설 강화 → 도서관 조사 계획 → 현장 이동,대표,2026년 8월 5일,준비,기억 속 위치 정보 → 현재 도시에서 불충분한 방향 정보 → 시대차를 설명하는 가설과 후속 조사 좌표,"위기·생존, 정보·비밀, 평가·판정",Yes,"주인공, 현지 주민 A, 동료 B","17화 7,427~7,465행",축소된 기억 지도와 현지 증언을 대조해 시대차 가설을 세우는 장면 (%EC%B6%95%EC%86%8C%EB%90%9C%20%EA%B8%B0%EC%96%B5%20%EC%A7%80%EB%8F%84%EC%99%80%20%ED%98%84%EC%A7%80%20%EC%A6%9D%EC%96%B8%EC%9D%84%20%EB%8C%80%EC%A1%B0%ED%95%B4%20%EC%8B%9C%EB%8C%80%EC%B0%A8%20%EA%B0%80%EC%84%A4%EC%9D%84%20%EC%84%B8%EC%9A%B0%EB%8A%94%20%EC%9E%A5%EB%A9%B4%203b2baa79eaae8191a6fdee10de83a9c7.csv),과거 기억 속 장소의 방향은 알지만 실제 도시 규모와 현재 명칭이 다름,가설을 정답으로 닫지 않고 기록 조사와 바뀐 현장 방문을 남김,Yes,지도 한계 → 현지인의 무지 → 특정 주민의 시간 정보 → 가설 → 후속 조사,약속 장소를 찾지 못하는 즉시 실용 문제에서 시작함,중간,"접근 허가, 정보 공개, 판정 번복","오해·재해석, 정보 공개, 판정, 행동 우선",훨씬 뒤 기억에 없던 건물·생존 기록이 발견되어 시대차와 은폐 가설을 확장함
수치상 충분한 전력을 현실의 신체·정신 반응으로 다시 평가하는 장면,REF-46,전투가 끝난 뒤 동료들은 구토하고 쓰러지며 몸이 굳었다고 고백한다. 주인공은 화내기보다 각자의 붕괴 원인을 확인한다.,전투 종료 → 후방 상태 목격 → 구토·실신·출혈 확인 → 역할 실패 질문 → 공포와 시전 반동 진술 → 남은 구성원의 구조 공로 인정,실패,2026년 8월 5일,준비,수치와 역할표상 충분한 파티 → 현실 반응 때문에 기능 붕괴 → 지원 가능 범위와 훈련 필요 재평가,"성장·실패, 전투·대결, 평가·판정",Yes,"주인공, 전위 A, 마법사 A, 동료 B·C","31화 14,391~14,485행",수치상 충분한 팀이 공포·구토·시전 반동으로 무너지는 장면 (%EC%88%98%EC%B9%98%EC%83%81%20%EC%B6%A9%EB%B6%84%ED%95%9C%20%ED%8C%80%EC%9D%B4%20%EA%B3%B5%ED%8F%AC%C2%B7%EA%B5%AC%ED%86%A0%C2%B7%EC%8B%9C%EC%A0%84%20%EB%B0%98%EB%8F%99%EC%9C%BC%EB%A1%9C%20%EB%AC%B4%EB%84%88%EC%A7%80%EB%8A%94%20%EC%9E%A5%EB%A9%B4%203b2baa79eaae81d9b708c8b7a9550d78.csv),기억 속 수치와 직업 조합은 충분하지만 실제 전투의 냄새·공포·신체 반동은 경험하지 못함,책임 추궁보다 누가 실제 한 사람 몫 이상을 했는지 재판정하며 닫힘,Yes,눈에 보이는 신체 증거 → 각자의 실패 이유 → 남은 사람의 실제 기여 판정,승리 직후 후방을 돌아보고 예상과 다른 동료 상태를 발견함,높음,"성장 증명, 책임 수용, 판정 번복, 한계 인정","신체 증거, 판정, 한계 인정, 행동 증명",이후 지식은 전투력 숫자뿐 아니라 공포·통증·지원 의존과 현장 변수를 포함해 운용됨
직접 탐색을 중단하고 질문을 기록·주변 수색으로 넘겨 현실 전용 단서를 찾는 장면,REF-46,"주인공은 기억상 무의미한 대상에도 기대를 걸고 오래 조사하지만, 제한 시간을 확인한 뒤 미련을 끊고 다른 방법을 택한다.",기억상 무반응 대상 발견 → 현실 가능성 재검증 → 직접 조사 반복 → 시간 비용 확인 → 기록 조사 위임 → 주변 수색 전환 → 기억에 없던 구조물·일기 발견 → 물적 검증으로 이동,대비,2026년 8월 5일,준비,단일 대상에 숨은 기능이 있다는 가설 → 직접 탐색 실패 → 질문의 보존과 방법 전환 → 주변에서 현실 전용 단서 확보,"성장·실패, 위기·생존, 정보·비밀",Yes,"주인공, 마법사 A, 동료 B·C","171화 82,653~82,855행","기억에서 무반응이던 대상을 재검증하되 시간 비용 때문에 방법을 바꾸는 장면 (%EA%B8%B0%EC%96%B5%EC%97%90%EC%84%9C%20%EB%AC%B4%EB%B0%98%EC%9D%91%EC%9D%B4%EB%8D%98%20%EB%8C%80%EC%83%81%EC%9D%84%20%EC%9E%AC%EA%B2%80%EC%A6%9D%ED%95%98%EB%90%98%20%EC%8B%9C%EA%B0%84%20%EB%B9%84%EC%9A%A9%20%EB%95%8C%EB%AC%B8%EC%97%90%20%EB%B0%A9%EB%B2%95%EC%9D%84%20%EB%B0%94%EA%BE%B8%EB%8A%94%20%EC%9E%A5%EB%A9%B4%203b2baa79eaae81c5bb8ecd6a9e68fbba.csv), 포기한 대상의 주변에서 기억에 없던 건물과 기록을 발견하는 장면 (%ED%8F%AC%EA%B8%B0%ED%95%9C%20%EB%8C%80%EC%83%81%EC%9D%98%20%EC%A3%BC%EB%B3%80%EC%97%90%EC%84%9C%20%EA%B8%B0%EC%96%B5%EC%97%90%20%EC%97%86%EB%8D%98%20%EA%B1%B4%EB%AC%BC%EA%B3%BC%20%EA%B8%B0%EB%A1%9D%EC%9D%84%20%EB%B0%9C%EA%B2%AC%ED%95%98%EB%8A%94%20%EC%9E%A5%EB%A9%B4%203b2baa79eaae81f4a78ddc135e84c573.csv)",기억상 무의미한 대상에 현실 전용 단서 가능성이 있지만 제한 시간이 있고 직접 조사에 진전이 없음,질문을 폐기하지 않고 기록 조사로 남긴 채 주변 발견을 다음 검증 대상으로 바꿈,Yes,기억과 현실 충돌 → 반복 실패 → 시간 제한 → 방법 전환 → 예상 밖 주변 단서,익숙하지만 기능이 없던 랜드마크를 다시 만나는 순간부터 시작함,중간,"선택 유예, 정보 공개, 판정 번복, 한계 인정","선택 유예, 오해·재해석, 한계 인정, 행동 우선",발견한 기록이 게임에 없는 생존자·역사·물품을 연결하고 전문 감정 절차로 이어짐
구성원의 성장을 칭찬이 아니라 분배율과 공동 자원 결정권으로 기록하는 장면,REF-46,빚만 남은 구성원은 당황하고 다른 구성원들은 성장 사실을 인정한다. 후반에는 각자의 외부 의무를 말하면서 합류 시기를 조정한다.,정산 공개 → 기존 낮은 권리 확인 → 성장 전력 판정 → 분배율 인상 제안 → 집단 동의 / 공동 전리품 확인 → 사용권 논의 → 외부 직위 확인 → 합류 시기 조정,대표,2026년 8월 5일,준비,보호받는 저기여 구성원 → 성장에 맞는 경제 권리 → 공동 자원 결정권과 독립 일정 보유,"관계 형성, 권한·위계, 조직·제도, 협상·거래",Yes,"리더, 구성원 A, 파티원들","173화 83,341~83,417행 / 447화 220,825~220,889행","성장한 구성원의 기여도를 경제 권리 변화로 반영하는 장면 (%EC%84%B1%EC%9E%A5%ED%95%9C%20%EA%B5%AC%EC%84%B1%EC%9B%90%EC%9D%98%20%EA%B8%B0%EC%97%AC%EB%8F%84%EB%A5%BC%20%EA%B2%BD%EC%A0%9C%20%EA%B6%8C%EB%A6%AC%20%EB%B3%80%ED%99%94%EB%A1%9C%20%EB%B0%98%EC%98%81%ED%95%98%EB%8A%94%20%EC%9E%A5%EB%A9%B4%203b2baa79eaae81f08eb4f96502701bf9.csv), 공동 전리품과 합류 시기를 각자의 외부 책임에 맞춰 조정하는 장면 (%EA%B3%B5%EB%8F%99%20%EC%A0%84%EB%A6%AC%ED%92%88%EA%B3%BC%20%ED%95%A9%EB%A5%98%20%EC%8B%9C%EA%B8%B0%EB%A5%BC%20%EA%B0%81%EC%9E%90%EC%9D%98%20%EC%99%B8%EB%B6%80%20%EC%B1%85%EC%9E%84%EC%97%90%20%EB%A7%9E%EC%B6%B0%20%EC%A1%B0%EC%A0%95%ED%95%98%EB%8A%94%20%EC%9E%A5%EB%A9%B4%203b2baa79eaae8174ae45e2d3a1e6620d.csv)",구성원의 실제 기여와 외부 책임이 달라 기존 분배와 합류 방식이 더 이상 맞지 않음,감정 확인보다 다음 탐사에 적용될 권리와 일정이 바뀌며 닫힘,Yes,성과와 비용 → 권리 재계산 → 집단 동의 → 외부 책임 → 공동 일정,탐사 정산 또는 공동 전리품 사용 논의에서 시작함,중간,"관계 재분류, 권리 생성, 권한 이동, 협상 성립","권한 이동, 조건 협상, 책임 분리, 행동 증명",파티 결원도 즉시 충원하지 않고 검증된 책임 관계만 조직에 등록함
동료를 구하기 전 자기 장비와 역할에 보호 비용을 먼저 지불하는 장면,REF-46,공격력 상승을 포기하는 아쉬움보다 앞으로 동료를 지킬 수 있다는 효율 판단이 앞선다.,현재 능력 변화 확인 → 상층 파티 조건 확인 → 무기와 방패 비교 → 공격 역할 포기 → 보호 역할 장비 구매 → 기능 슬롯 모집,대표,2026년 8월 5일,준비,개인 공격 효율 중심 → 다인 파티 전제 → 보호 역할의 선지출 → 아직 검증되지 않은 동료 모집,"관계 형성, 보호·희생, 평가·판정",Yes,"주인공, 지원자 A, 임시 팀장 B","47화 22,223~22,299행 / 49화 22,970~23,005행","공격 역할을 포기하고 동료를 살리는 방어 역할로 자신을 재설계하는 장면 (%EA%B3%B5%EA%B2%A9%20%EC%97%AD%ED%95%A0%EC%9D%84%20%ED%8F%AC%EA%B8%B0%ED%95%98%EA%B3%A0%20%EB%8F%99%EB%A3%8C%EB%A5%BC%20%EC%82%B4%EB%A6%AC%EB%8A%94%20%EB%B0%A9%EC%96%B4%20%EC%97%AD%ED%95%A0%EB%A1%9C%20%EC%9E%90%EC%8B%A0%EC%9D%84%20%EC%9E%AC%EC%84%A4%EA%B3%84%ED%95%98%EB%8A%94%20%EC%9E%A5%EB%A9%B4%203b2baa79eaae8122a29ff620134530a2.csv), 결함 있는 지원자를 기능과 통제 가능성으로 먼저 모집하는 장면 (%EA%B2%B0%ED%95%A8%20%EC%9E%88%EB%8A%94%20%EC%A7%80%EC%9B%90%EC%9E%90%EB%A5%BC%20%EA%B8%B0%EB%8A%A5%EA%B3%BC%20%ED%86%B5%EC%A0%9C%20%EA%B0%80%EB%8A%A5%EC%84%B1%EC%9C%BC%EB%A1%9C%20%EB%A8%BC%EC%A0%80%20%EB%AA%A8%EC%A7%91%ED%95%98%EB%8A%94%20%EC%9E%A5%EB%A9%B4%203b2baa79eaae81e2a105d3aedf36ee55.csv)",다인 파티가 필요하지만 구성원은 아직 모집되지 않았고 필수 기능 지원자에게 결함이 있음,보호 장비를 갖춘 뒤 지원자를 동료라 호명하지만 내부 판단은 기능과 통제 가능성에 남음,Yes,역할 비용 선지출 → 지원자 결함 → 기능 가치 → 동료 호칭과 통제 계산 병치,개인 장비 구매 선택에서 시작해 이후 모집 판단으로 넘어감,높음,"관계 시작, 보호 약속, 역할 교체, 조건부 수락","역할 교체, 조건 협상, 책임 분리, 행동 증명",첫 공동 실패 뒤 구성원들이 기능 슬롯을 넘어 결함과 추방 이력을 공개함
구성원의 의견을 듣되 최종 생사 결정과 실패 책임은 리더가 맡는 장면,REF-46,"동료들이 의견을 말하는 동안 리더는 선택을 미루지만, 결정을 떠넘길 수 없다는 사실과 실제 죽음의 무게를 자각한다.",위험과 선택지 공개 → 구성원 의견 청취 → 의견 차이 확인 → 최종 판단 요구 → 실제 죽음 상상 → 리더 결정 → 실행 책임 수용,대표,2026년 8월 5일,준비,개별 의견 집합 → 공동 검토 → 리더의 최종 결정권 → 실패 시 귀속되는 실제 책임,"권한·위계, 보호·희생, 위기·생존, 평가·판정",Yes,"리더, 구성원들","208화 101,579~101,713행",구성원 의견을 들은 뒤 최종 생사 결정을 리더가 떠안는 장면 (%EA%B5%AC%EC%84%B1%EC%9B%90%20%EC%9D%98%EA%B2%AC%EC%9D%84%20%EB%93%A4%EC%9D%80%20%EB%92%A4%20%EC%B5%9C%EC%A2%85%20%EC%83%9D%EC%82%AC%20%EA%B2%B0%EC%A0%95%EC%9D%84%20%EB%A6%AC%EB%8D%94%EA%B0%80%20%EB%96%A0%EC%95%88%EB%8A%94%20%EC%9E%A5%EB%A9%B4%203b2baa79eaae819e8f3dff2a56f85485.csv),어느 선택도 생존을 보장하지 못하고 집단 행동에는 하나의 최종 결정이 필요함,다수결 뒤 숨지 않고 리더가 마지막 선택과 결과 책임을 명시적으로 떠안음,Yes,정보 공유 → 의견 → 책임 공백 → 리더의 실제 죽음 인식 → 최종 결정,외부 위기에 합류할지 파티 회의를 여는 장면에서 시작함,높음,"권한 이동, 의무 부여, 책임 수용, 판정 확정","권한 이동, 대사 우선, 책임 분리, 판정",결정 실패 뒤 생존 구성원이 리더에게 전부 전가하지 않고 자기 동의의 책임도 인정함
버림받은 집단이 직함이 아니라 함께 위험을 감수한 행동으로 새 리더를 선택하는 장면,REF-46,"버림받은 구성원들은 기존 리더에게 분노하고, 자신들과 남아 싸운 인물에게 기대와 의존을 보인다.",기존 리더 이탈 → 버려진 집단 혼란 → 함께 남은 인물의 행동 → 생존 경로 제시 → 구성원들의 자발적 집결 → 새 지휘권 인정,대표,2026년 8월 5일,준비,직함을 가진 리더와 팀 → 리더의 자기 생존 선택으로 계약 파기 → 위험을 공유한 행동자에게 지휘권 이동,"관계 갈등, 권한·위계, 위기·생존, 조직·제도",Yes,"새 리더, 버림받은 구성원들, 기존 리더들","211~212화 103,615~103,971행",버림받은 집단이 직함보다 위험을 함께 감수한 행동으로 새 리더를 선택하는 장면 (%EB%B2%84%EB%A6%BC%EB%B0%9B%EC%9D%80%20%EC%A7%91%EB%8B%A8%EC%9D%B4%20%EC%A7%81%ED%95%A8%EB%B3%B4%EB%8B%A4%20%EC%9C%84%ED%97%98%EC%9D%84%20%ED%95%A8%EA%BB%98%20%EA%B0%90%EC%88%98%ED%95%9C%20%ED%96%89%EB%8F%99%EC%9C%BC%EB%A1%9C%20%EC%83%88%20%EB%A6%AC%EB%8D%94%EB%A5%BC%20%EC%84%A0%ED%83%9D%ED%95%98%EB%8A%94%20%EC%9E%A5%EB%A9%B4%203b2baa79eaae8158b8caf5fee2b5a6ce.csv),기존 지휘자가 구성원을 버렸고 즉시 행동 가능한 새 지휘 체계가 필요함,새 리더가 자칭하는 것이 아니라 구성원들이 그에게 붙으며 권한이 사실화됨,Yes,버림 행위 → 생존 위기 → 대안 행동 → 집단 이동 → 지휘권 확정,기존 리더들이 탈출하며 남은 구성원을 버리는 사건으로 시작함,높음,"관계 단절, 관계 재분류, 권한 이동, 접근 허가","관계 파열, 권한 이동, 판정, 행동 증명",실제 사망이 발생한 뒤에도 생존자는 새 리더에게 전부 책임을 전가하지 않고 자신의 선택을 함께 인정함
