카드명,연구 계층,운용 모드,검증 판정,갱신 상태,검증 메모,금지 조건
즉시 반박하는 동료가 독주 본능을 현실로 되돌리기,원천별 카드,자동 적용 금지,작품 고유 환원,,공용 관계 카드로 재사용하지 않는다. 작품 고유 관계 기록으로 환원한다. 초기 파일럿 6작품 재점검에서 범용 승격 근거 없음.,동료의 반박이 말뿐이고 실제 역할 수행이 없을 것. 주인공을 무능하게 만들어야만 동료가 빛날 것.
현실형 조력자가 집착의 안전·법·제도 경계를 제어하기,원천별 카드,자동 적용 금지,사용 중지,,관계 패턴을 공용 카드로 쓰지 않는다. 사용 중지하며 재작성·재검증 전까지 적용 금지.,조력자가 매번 잔소리만 하고 대안을 만들지 못할 것. 주인공이 같은 위험을 무한 반복할 것.
C-EDU-01 · 기준은 낮추지 않고 실패와 재도전의 권리를 보존한다,장편 깊이 원리,선택 엔진,운영 규칙 확정,현행 유지,단일 REF 근거이지만 사용자의 명시 승인으로 활성화한다. 자동 적용은 교육·평가 장면에서 기준 유지와 참여권 보존이 동시에 필요할 때 선택 엔진이 후보로 조회하는 의미다.,가혹함을 무조건 사랑으로 미화하지 않는다. 보호를 비밀 특혜나 결과 조작으로 대체하지 않는다. 제자의 최종 판단을 스승 칭송으로만 닫지 않는다.
C-REL-01 · 손상된 관계를 원상복구하지 않고 권리를 반환한 뒤 다시 선택하게 한다,장편 깊이 원리,선택 엔진,운영 규칙 확정,현행 유지,"단일 REF 근거이지만 사용자의 명시 승인으로 활성화한다. 자동 적용은 선택 엔진의 조건 일치 시 후보로 선택되는 의미이며, 원문·정사·관계 권리 잠금과 NO_OP 허용을 유지한다.",희생의 진실로 과거 가해를 면제하지 않는다. 관계 해체 직후 자동 재결합시키지 않는다. 감사·부채·의존을 자유의지와 동일시하지 않는다.
C-REP-01 · 손상된 신뢰를 검증된 사안 단위로만 복구한다,장편 깊이 원리,선택 엔진,운영 규칙 확정,현행 유지,"단일 REF 근거이지만 사용자의 명시 승인으로 활성화한다. 자동 적용은 평판 손상과 검증 가능한 단일 사안이 동시에 존재할 때 선택 엔진이 조회하는 의미이며, 전면 복권을 금지한다.",한 번의 압도적 성취로 과거를 세탁하지 않는다. 칭찬 인원수를 증거로 세지 않는다. 모든 관찰자가 같은 범위로 신뢰를 회복하게 하지 않는다.
GTC-06 · 결정적 선택 뒤에도 오래된 잔여를 보존하기,장편 깊이 원리,감사 전용,감사 전용,검증 중,"2026-08-02 심층 보강 완료. MC-RES-01의 6개 REF·7개 스레드를 직접 연결하고, ‘잔여’를 감정량이 아니라 후속 선택의 비균일한 변화로 정의했다. 생성 자동화가 아닌 연속성 감사 전용 상태는 유지한다.","성장을 무효화하는 같은 실수 반복, 결함의 귀여운 버릇화, 원문의 확정 변화 되돌리기 금지."
02 · REF 심층 연구 아카이브,감사 규칙,자동 적용 금지,운영 규칙 확정,현행 유지,"공용 실행 카드의 후방 연구 아카이브. 평상시 각색 스킬은 직접 실행하지 않고, 선택 카드의 심층 증거 확인·승격 심사·감사 시에만 조회한다.","작품 이해 전 분류·장르·공용 공식 끼워넣기, 작품명 기록, 근거 없는 카드 자동 적용"
QAR-01 · 장르적 보상과 비용이 같은 원인에서 나오는지 점검하기,감사 규칙,감사 전용,감사 전용,재검증 대기,감사 전용 활성 규칙. 성취를 가짜로 만들거나 피해를 지우지 않고 같은 인과의 양면을 보존하는지 확인한다.,초고 생성 중 사용 금지. 작품이 비판하지 않는 요소에 분석자의 윤리 판단을 새 사건으로 덧씌우지 않는다.
R-01 · 문단 길이의 기능 감사,감사 규칙,감사 전용,감사 전용,재검증 대기,반례 감사에서 확정된 정규화 수정 명세. 생성 카드가 아니라 완성본 감사 규칙.,짧은 문단 자체를 긴장감으로 간주하거나 문단 길이를 획일화하지 않는다.
R-02 · 주변 반응의 독립 판정 감사,감사 규칙,감사 전용,감사 전용,검증 중,반례 감사에서 확정된 정규화 수정 명세. V3.1 원문 직접 대조 보강(MC-CHR-02 · MC-GRP-01): 주변 반응의 독립성은 각자의 판단 기준뿐 아니라 공동 선택에서의 이견·수정권·실행권·이탈 비용으로 감사한다는 근거를 보강했다. 적용 영수증은 아직 0건이며 생성 자동화·상태 승격은 하지 않는다.,반응 다양화를 위해 원문에 없는 인물이나 전문성을 추가하지 않는다.
R-03 · 전문 정보의 행동 연결 감사,감사 규칙,감사 전용,감사 전용,재검증 대기,반례 감사에서 확정된 정규화 수정 명세.,모든 설명 뒤 억지 행동을 붙이거나 현재 선택에 불필요한 정보를 늘리지 않는다.
R-04 · 외부 시점의 독립 질문 감사,감사 규칙,감사 전용,감사 전용,재검증 대기,반례 감사에서 확정된 정규화 수정 명세.,원문에 없는 비판이나 반대자를 억지로 만들지 않는다.
R-05 · 시스템·기록 프레임의 시야와 사각 감사,감사 규칙,감사 전용,감사 전용,검증 중,"반례 감사에서 확정된 정규화 수정 명세. V3.1 원문 직접 대조 보강(MC-KNW-01): 기록 장치의 정확성과 인물의 해석 가능 범위를 분리하고, 장치 밖 정보와 실패 비용이 다음 판정을 바꾸는지 감사하는 근거를 보강했다. 적용 영수증은 아직 0건이며 생성 자동화·상태 승격은 하지 않는다.",정확한 장치를 거짓말쟁이로 만들거나 원문 규칙을 바꾸지 않는다.
R-06 · 현대 비유·생활어의 세계 복귀 감사,감사 규칙,감사 전용,감사 전용,재검증 대기,반례 감사에서 확정된 정규화 수정 명세.,현대어 자체를 금지하거나 참고작의 고유 비유를 복제하지 않는다.
R-07 · 코미디 변속 뒤 비용 감사,감사 규칙,감사 전용,감사 전용,재검증 대기,반례 감사에서 확정된 정규화 수정 명세.,애도·사과를 침해하는 농담을 새로 넣거나 피해를 매력 장식으로 쓰지 않는다.
R-08 · 권력 장면의 선택지 폐쇄 감사,감사 규칙,감사 전용,감사 전용,재검증 대기,반례 감사에서 확정된 정규화 수정 명세.,원문에 없는 비밀·인질·자원을 추가하지 않는다.
R-09 · 창작·재능의 이중 증명 감사,감사 규칙,감사 전용,감사 전용,재검증 대기,반례 감사에서 확정된 정규화 수정 명세.,원문보다 효능·시장 반응을 확대하거나 전문가를 칭찬 기능으로 만들지 않는다.
R-10 · 조직 성장의 부재 시험 감사,감사 규칙,감사 전용,감사 전용,검증 중,"반례 감사에서 확정된 정규화 수정 명세. V3.1 원문 직접 대조 보강(MC-ABS-01 · MC-CHR-02): 부재 시험에는 규칙의 작동뿐 아니라 남은 인물의 시야 차이와 계획 수정·중단권, 귀환 뒤 권한이 자동 복원되지 않는지도 포함한다. 단일 원천 MC-ABS-01은 보조 근거로만 둔다. 적용 영수증은 아직 0건이며 생성 자동화·상태 승격은 하지 않는다.",미성숙 조직을 억지로 자립시키거나 조연의 독립 행동을 새 사건으로 대폭 추가하지 않는다.
R-11 · 반복 누적의 기능 변화 감사,감사 규칙,감사 전용,감사 전용,검증 중,"반례 감사에서 확정된 정규화 수정 명세. V3.1 원문 직접 대조 보강(MC-DLG-04): 반복되는 호칭·농담·적대 표현은 관계 이력에 따라 허용 범위와 수용 의미가 달라지는지, 목소리 자체는 연속되는지 함께 감사한다는 근거를 보강했다. 적용 영수증은 아직 0건이며 생성 자동화·상태 승격은 하지 않는다.",원문에 없는 상징을 심거나 후반 의미를 초반 의도로 소급하지 않는다.
R-12 · 인물별 충분한 답 감사,감사 규칙,감사 전용,감사 전용,검증 중,"반례 감사에서 확정된 정규화 수정 명세. V3.1 원문 직접 대조 보강(MC-DLG-01 · MC-DLG-03 · MC-DLG-05): 충분한 답 감사에 발화 의도와 수용 의미의 차이, 질문자가 허용하는 답의 범위, 비언어 반응이 정보·거리·책임을 실제로 바꾸는지를 추가했다. 적용 영수증은 아직 0건이며 생성 자동화·상태 승격은 하지 않는다.",차이를 만들기 위해 지능·성격을 과장하거나 의례 응답을 억지로 개성화하지 않는다.
R-13 · 장문 추론의 증거 간격 감사,감사 규칙,감사 전용,감사 전용,검증 중,"반례 감사에서 확정된 정규화 수정 명세. V3.1 원문 직접 대조 보강(MC-KNW-01): 장문 추론은 정보의 정확성과 해석 범위를 나누고, 오판 비용이 다음 선택 기준에 남는지까지 감사해야 한다는 근거를 보강했다. 적용 영수증은 아직 0건이며 생성 자동화·상태 승격은 하지 않는다.",확정 사실까지 억지로 불확실하게 만들거나 대안 가설로 분량을 늘리지 않는다.
R-14 · 압도적 능력의 조건·책임 감사,감사 규칙,감사 전용,감사 전용,재검증 대기,반례 감사에서 확정된 정규화 수정 명세.,긴장을 위해 새 면역·새 피해 가능성·새 조건을 임의 추가하지 않는다.
R-15 · 1인칭·자기합리화 분리 감사,감사 규칙,감사 전용,감사 전용,재검증 대기,반례 감사에서 확정된 정규화 수정 명세.,화자를 조롱하거나 모든 자기해석을 거짓으로 만들지 않는다.
R-16 · 집단 결정의 이견·권한·비용 이동 감사,감사 규칙,감사 전용,감사 전용,검증 중,REF-05·REF-08·REF-16·REF-25의 직접 원문 스레드에서 역할·이견·수정권·이탈 비용이 확인됐다. 생성 카드가 아닌 감사 전용이며 현장 적용 영수증은 아직 0건이다.,모든 구성원에게 억지로 대사를 배정하지 않는다. 확립된 절차의 짧은 반복을 실패로 보지 않는다. 원문에 없는 반대·이탈·회의를 추가하지 않는다.
R-COST-01 · 진실 공개 뒤에도 이미 발생한 관계·평판·제도 비용을 삭제하지 않는다,감사 규칙,감사 전용,감사 전용,현행 유지,REF-45의 복수 VERIFIED_THREAD에서 반복 확인된 마감 감사 원리다. 장면 생성에는 사용하지 않고 화해·반전·진실 공개·희생 회수 뒤 비용 소거 여부만 검사한다.,새로운 비극을 억지로 추가하지 않는다. 용서받지 못해야만 현실적이라고 단정하지 않는다. 모든 비용을 영구 상실로 고정하지 않고 원문이 허용한 복구 가능성을 보존한다.
폐기 · OPS-01 · 실행 카드 경량 컴파일·조회 계약,실행 엔진,자동 적용 금지,사용 중지,폐기 검토,2026-08-02 사용자 정정: 해당 정리 방식은 기법 연구 프로젝트 내부에서만 유지하며 공용 각색 스킬이나 실행 카드 운영 규칙으로 확장하지 않는다.,각색 스킬의 선택·선조회·감사 대상으로 사용하지 않는다.
ENGINE-01 · 장면 원리 선택 엔진,실행 엔진,선택 엔진,운영 규칙 확정,,운영 규칙 확정. 기본값 NO_OP. 장면 문제를 먼저 진단하고 현재 원문·정사·정보 공개 순서·인물 지식·관계 권리를 고정한 뒤 필요한 카드만 0~3개 조회한다. 선택 결과는 원고에 직접 노출하지 않고 임시 WRITING_BLOCK과 작동 기록에만 남긴다.,장르명·카드명만으로 발동하지 않는다. 사용 횟수를 성과로 보지 않는다. 원문에 없는 사건·감정·관계·전문성·상징·윤리 원칙을 만들지 않는다. 카드 문구나 참고작의 표면 문체를 복제하지 않는다. 감사 규칙을 생성 근거로 사용하지 않는다.
ENGINE-02 · 회차 파일럿·작동 기록 운영,실행 엔진,선택 엔진,운영 규칙 확정,,운영 규칙 확정. 공용 카드의 실제 승격은 파일럿 결산 뒤에만 허용한다. F08·F11 및 장편 원리는 3~5화 미니 아크와 10~20화 누적 관찰 뒤 재판정한다.,고립 문장 A/B로 장편 효용을 확정하지 않는다. 여러 버전을 일상 작업에서 동시에 제시하지 않는다. 수정 없음이나 사용 횟수만으로 성공 판정하지 않는다. 모든 원리의 동일 횟수 표본을 강제하지 않는다. 원문 이탈이 있으면 다른 점수가 높아도 실패다.
