스레드 ID,REF 코드,경계 상태,먼 재등장,미확인 범위,반례,비정사,사용자 확인 필요,상태,원문 위치,원천 레지스트리,유사성 판정,인물·관계·사건·표현,자유 이해,조합 가설,현재 질문,확인 범위
TH-REF05-CHR-01 · 대상이 현재 선택을 가진 사람으로 재분류된다,REF-05,exact,"초기의 원주민 재분류가 U0300의 미래가 정해진 아이, U0600의 보상 가치가 큰 비인간 조력자로 확장된다.",선택 창 사이의 연속 회차. U0912는 저장본 최신 경계이며 작품 종결로 간주하지 않음.,위기 뒤 다시 능력치·역할·미래 효용으로만 호명되면 재분류는 일회성 감상에 그친다.,Yes,No,VERIFIED_THREAD,U0001-0003 → U0300 → U0600,REF-05 (https://app.notion.com/p/REF-05-e1ebaa79eaae8383aaab013ccd8804ed?pvs=21),,"초기에는 능력과 생존 가치로 보는 독백이 강하다. 그러나 타인의 두려움, 아이의 현재 생존, 도움을 준 존재의 행동이 미래 지식보다 우선하는 순간이 생긴다.","주인공은 타인을 게임 속 유형과 미래 정보로 먼저 분류하지만, 두려움·경제적 제약·현재의 요청을 만나며 그들을 정해진 대상이 아니라 지금 선택하는 사람으로 다시 본다.",,재분류된 인물이 이후에도 자기 목표와 선택으로 서사를 밀어가는가?,"U0001-0003, U0050, U0300, U0600, U0850, U0912"
TH-REF26-ENG-09 · 동일 조건의 공개 검증이 숨은 재능을 사회적 권위로 바꾼다,REF-26,exact,"85화에서 공개 검증 구조가 전문 재능을 넘어 계승 정통성 판정으로 반복된다. 공동체는 제자라는 말이나 스승의 선택만으로 새 지도자를 인정하지 않고, 모두가 판별 가능한 대표 기술의 시연을 요구한다. 후보는 기술을 여러 수까지 직접 펼쳐 자격을 증명하지만 최고 직함을 곧바로 독점하지 않고 과도기 직함만 수용한다. 88화에서는 앞서 공개 검증된 전문가의 권위가 치료제 양산·새 거점·예방 접종 관문으로 이어진다.","공동체의 검증 기준 자체가 잘못되었거나 특정 계보만 배제하는 반례, 기술 시연은 통과하지만 통치·교육 역량이 부족한 경우, 과도기 직함에서 정식 권한으로 이동하는 후속 검증은 추가 독해가 필요하다.","유명 인물을 이긴 한 번의 우연이나 관객의 감탄만으로는 포함하지 않는다. 비교 조건이 다르거나 결과를 반복 재현하지 못하고, 검증 뒤 계약·지휘권·시장 평가 같은 현실적 권한 변화가 없다면 제외한다.",Yes,No,VERIFIED_THREAD,REF-26 원문 56~88화 직접 독해,REF-26 (https://app.notion.com/p/REF-26-581baa79eaae823e8c990170a420284f?pvs=21),복합 유사,"무명 전문가는 동일 재료·시간·과제의 공개 비교와 반복 재현을 통해 기존 권위자를 넘어선다. 이후 계약·거래·연구 지휘권을 얻고 치료제를 완성한다. 다른 계승 장면에서도 공동체는 스승이 제자로 불렀다는 관계 증언만으로는 법통을 넘기지 않는다. 계보를 대표하는 기술을 직접 보고 판별하겠다고 요구하며, 후보는 여러 초식을 공개 시연한다. 집단이 무릎을 꿇고 최고 직함을 제안하지만 후보는 현재 역량을 이유로 임시 직함만 받아들인다. 전문성과 계승 모두 공개된 판별 기준과 실제 권한 이동을 거친다.","사회적 권위는 유명 인물의 추천이나 혈통·관계 선언만으로 안정되지 않는다. 해당 공동체가 스스로 진위를 판별할 수 있는 대표 과업이나 기술을 공개적으로 수행하고, 결과를 목격한 사람들이 권한 이동을 승인해야 한다. 다만 검증 통과가 곧 모든 역량의 완성을 뜻하지 않으므로, 후보가 자신의 부족한 범위를 인정하고 과도기 권한을 선택하면 권위가 오만이나 억지 승계로 흐르는 것을 막을 수 있다.",기존 권위의 의심 + 공동체가 합의한 판별 기준 + 동일 조건 또는 대표 기술의 공개 수행 + 반복·복수 수의 재현 + 제3자·집단의 인정 + 계약·거래·법통의 실제 이동 + 후보의 권한 범위 자율 제한이 결합한다.,"추천·혈통·사제 관계에 의존하지 않고, 공동체가 판별 가능한 공개 수행과 후보의 권한 제한을 통해 전문성 또는 계승 정통성을 어떻게 확립하는가?","56~61화 무명 전문가의 동일 조건 공개 대결·반복 재현·계약 경쟁, 66~79화 연구 지휘와 치료제 완성, 85화 대표 기술 시연을 통한 계승 자격 판정·집단 승인·임시 직함 수용, 88화 치료제 양산과 전문 거점 형성"
TH-REF04-EXP-01 · 우주적 개념을 몸과 사후 행동으로 내려놓는다,REF-04,exact,"초반에는 물건과 화폐의 실용성이 세계 차이를 만들고, 중후반에는 정신과 존재의 문제도 공포와 사후 행동을 거쳐 이해된다.",중간 단계의 설명 밀도 변화와 독자 피로가 누적되는 구간,감각적 닻 없이 고유 개념을 연쇄 설명하면 장기 누적이 깊이가 아니라 진입 장벽으로 변한다.,Yes,No,VERIFIED_THREAD,U0040 · U0441 · U0846~0847,REF-04 (https://app.notion.com/p/REF-04-2aebaa79eaae835d99c401be456a2237?pvs=21),,인물: 지식보다 몸과 경험을 통해 세계를 재분류한다. 관계: 상대의 힘은 위계 설명보다 말투·대우·선택권의 변화로 체감된다. 사건: 시장 진입과 초월적 제안이 모두 비용과 선택으로 세계 규칙을 드러낸다. 표현: 감각→실용 판단→사회 반응→개념 해석의 순서를 자주 사용한다.,"규모가 큰 설정을 정의문으로만 밀지 않고, 몸이 느끼는 위압·시장 비용·도구의 쓰임·기억의 결손·선택 뒤 행동에 번역한다. 이해 순서는 개념에서 감정으로가 아니라 감각과 용도에서 개념으로 올라간다.",,추상어가 많아지는 후반에도 독자가 현재 장면을 붙들 수 있게 하는 감각·행동의 최소 빈도는 무엇인가?,"초반 낯선 세계 체감, 중후반 초월적 선택, 후반 존재·인과 논의"
TH-REF26-ENG-03 · 같은 이력이 관찰자 판정에 따라 적대와 동맹을 동시에 만든다,REF-26,exact,"31~35화에서 관찰 오류를 바로잡는 방식이 제3자 검증을 넘어 반복 설득으로 확장된다. 주인공은 실패한 대화와 죽음을 통해 상대가 다음에 제기할 반론·검증 요구·감정적 저항의 순서를 수집하고, 다음 시도에서 증인·행동·자기 공개를 그 순서보다 먼저 제시한다.","36화 이후 다른 인물·조직이 같은 이력을 재판정하는 사례, 반복 시도가 불가능한 장면에서의 대체 방식, 모든 반론을 선점했는데도 가치관 차이로 설득이 실패하는 반례는 추가 독해가 필요하다.",관찰자들이 모두 동일한 정보와 가치 기준을 가져 같은 결론을 내리면 제외한다. 단순한 정보 부족으로 생긴 일회성 오해가 관계나 다음 사건을 바꾸지 못하는 경우도 제외한다.,Yes,No,VERIFIED_THREAD,REF-26 원문 4~35화 직접 독해,REF-26 (https://app.notion.com/p/REF-26-581baa79eaae823e8c990170a420284f?pvs=21),판정 보류,"반복 자기희생과 한 번의 살해 이력은 맥락 없는 관찰에서 대량 학살로 오독되어 공격을 낳고, 맥락을 아는 동행자에게는 집념과 후천적 재능으로 재평가된다. 이후 같은 관찰자가 다시 적대하자 제3자의 진실 검증으로 오해가 풀리고 사과·용서·대련 관계가 성립한다. 다음 재대면을 준비할 때 주인공은 한 번의 완벽한 웅변을 시도하지 않는다. 실제 대화에서 상대가 제기하는 의심에 막히고 죽을 때마다 반론 순서를 기억해 다음 시도에 증인과 증거를 추가한다. 최종 설득은 말재주가 아니라 상대의 모든 의심을 실제 비용을 치르며 끝까지 견뎌낸 결과다.","동일한 사실은 관찰자의 정보량과 가치 기준에 따라 적대·동맹·보호로 갈라진다. 후속 구간은 여기서 한 단계 더 나아가, 판정 오류를 바로잡는 설득 과정 자체를 반복 가능한 실험으로 만든다. 실패한 대화는 폐기되지 않고 상대의 다음 반론을 알려주는 자료가 된다. 주인공은 반론을 듣고 즉흥적으로 말싸움하는 대신, 다음 시도에서 그 반론이 나오기 전에 증거와 관계자를 배치한다. 따라서 설득력은 유창함보다 검증 가능한 사실, 반론 순서의 이해, 실패 비용의 누적으로 생긴다.",불완전한 관측 정보 + 관찰자의 도덕 기준 + 반복되는 설득 실패 + 반론 순서 기억 + 증인·증거의 선제 배치 + 잘못 인정 여부가 결합해 적대를 검증과 관계 재설계로 전환한다.,"상대의 오판을 어떻게 반박하는가가 아니라, 실패한 설득에서 반론 구조를 수집해 다음 시도의 증명 순서를 어떻게 설계하는가?","4~5화 반복 자기희생, 7~10화 외형 수치의 오독과 재능 재평가, 25~27화 재오독·검증·사과·대련 관계, 34~35화 반복 실패로 반론 수집·증인과 증거의 선제 배치"
TH-REF05-KNW-01 · 지식 우위가 오답과 수정 비용을 통과한다,REF-05,exact,"초기 편의 기능 실패가 U0600의 징후 누락과 U0850의 1% 실패, U0912의 고비용 설계로 다른 규모에서 반복된다.",선택 창 사이의 연속 회차. U0912는 저장본 최신 경계이며 작품 종결로 간주하지 않음.,후기로 갈수록 수치·빌드 열거가 길어지면 수정 과정은 정교해도 동료의 감정과 판단이 원격 지원으로 평탄화될 수 있다.,Yes,No,VERIFIED_THREAD,U0001-0003 → U0050 → U0600 → U0850 → U0912,REF-05 (https://app.notion.com/p/REF-05-e1ebaa79eaae8383aaab013ccd8804ed?pvs=21),,"실용적 독백과 계산 뒤에 자기 오판을 인정하는 문장이 붙고, 동료의 역할 지식이 주인공의 판단을 보정한다. 실패는 다음 자원 배치와 위험 평가를 바꾼다.","처음의 숙련 지식은 정답지가 아니라 생존 가설이다. 편의 기능의 부재, 타인의 경험, 놓친 징후, 대규모 전투 실패를 거치며 계속 수정될 때만 실제 전문성으로 보인다.",,전투 밖의 정치·관계 판단에서도 오답 장부가 같은 밀도로 유지되는가?,"U0001-0003, U0050, U0300, U0600, U0850, U0912"
TH-REF26-ENG-04 · 적의 고통을 알게 되면 승리 조건이 제거에서 정산으로 바뀐다,REF-26,exact,"44~46화에서 같은 구조가 더 복합적으로 반복된다. 적의 고통을 이해한 뒤 무죄로 돌리지 않고, 피해와 가해를 함께 직시한다. 최종 선택은 제거도 단순 용서도 아닌, 같은 원리로 심판한 뒤 다시 살려 책임을 지게 만드는 방식으로 확장된다.","47화 이후 되살린 적이 실제로 책임을 수행하는지, 심판과 구원이 장기 관계에서 어떤 비용을 만드는지, 공감이 실패하거나 상대가 변화하지 않는 반례는 추가 독해가 필요하다.",적의 과거가 연민이나 설명만 추가하고 최종 목표·전술·장면 종결이 그대로라면 제외한다. 적을 살려두는 것만으로도 이 기법이라 판정하지 않는다.,Yes,No,VERIFIED_THREAD,REF-26 원문 16~46화 직접 독해,REF-26 (https://app.notion.com/p/REF-26-581baa79eaae823e8c990170a420284f?pvs=21),판정 보류,"첫 보스에서는 적의 생전 고통과 남겨진 욕망을 확인한 뒤 제거 대신 놀이를 끝까지 받아주며 위령한다. 후속 보스에서는 적이 받은 박해와 상실을 이해하지만, 동시에 그 존재가 저지른 살해와 기만도 지적한다. 주인공은 피해자였다는 사실을 면죄부로 쓰지 않고, 가해 방식과 동일한 원리로 적을 죽인 뒤 기억을 유지한 채 되살려 책임을 지게 하려 한다. 공감은 처벌을 없애지 않고 처벌의 형태와 이후 관계를 다시 설계한다.","새 정보는 약점 공략법만 제공하지 않는다. 적의 고통과 욕망을 알게 되면 주인공은 무엇을 해야 승리인지 다시 정의한다. 다만 이해는 곧 무죄 선고가 아니다. 상대의 상처와 상대가 만든 상처를 동시에 보며, 단순 제거·무조건적 용서·피해자 면책을 모두 피한다. 심판과 구원을 하나의 연속 행동으로 묶어, 상대가 저지른 방식의 결과를 직접 겪게 한 뒤 기억과 책임을 가진 존재로 다시 세운다.",적의 트라우마 직접 체험 + 피해와 가해의 동시 판정 + 표면 목표와 실제 결핍 분리 + 동일 원리의 심판 + 기억을 유지한 재생 + 후속 책임 부여가 결합한다.,"적의 고통을 이해하면서도 면죄하지 않고, 처벌과 구원을 어떻게 하나의 결말로 겹치는가?","16~18화의 위령형 공략, 44~45화의 적 트라우마와 가해 이력 동시 확인, 45~46화의 권한 박탈·심판·기억 유지 재생 설계"
TH-REF16-EXP-01 · 추상 세계관을 한 삶의 질문과 기록 노동에 묶는다,REF-16,exact,U0450의 삶 해석 질문이 U0550에서 초고·수정·전달이라는 실제 작업으로 변한다.,선택 창 사이의 연속 회차. U0550 이후는 본편 종결부와 외전이 섞이므로 분리 독해 필요. U0852는 저장본 최신 경계이며 외전 종결로 단정하지 않음.,후반의 우주 규모 전투·메시지·능력 설명이 길어질수록 즉시 장면의 몸과 관계가 밀려날 위험이 있다.,Yes,No,VERIFIED_THREAD,U0450 → U0550,REF-16 (https://app.notion.com/p/REF-16-116baa79eaae839a9f77017ba389acea?pvs=21),,"추상 대화 뒤에는 표정, 응답 회피, 원고 수정, 기억 제공, 배포 실패와 같은 물리적·사회적 행동이 붙는다. 설명이 곧 관계 정산이 된다.","거대한 벽·세계·이야기 개념은 설명만으로 밀어붙이지 않고, 한 사람이 최선을 다했는지 행복했는지, 보이지 않은 삶을 누가 어떻게 기록할 수 있는지라는 구체 질문에 걸린다.",,외전의 대규모 전투와 설정 메시지도 같은 정도로 인물의 몸과 관계 비용에 묶이는가?,"U0001-0003, U0050, U0300, U0450, U0550, U0600, U0852"
TH-REF26-ENG-08 · 누적 실패의 흔적을 같은 형태의 전력과 자격으로 뒤집는다,REF-26,exact,"66~70화에서 누적 실패의 흔적이 전투력뿐 아니라 연구 시간으로 전환된다. 첫 열흘 동안 얻은 진단 자료와 관찰 기록을 죽기 전에 암기하고, 회귀 후 첫날에 선행 자료로 전달해 전문가의 연구를 앞당긴다. 실패한 시간선은 사라지지만 그 안에서 만든 지식은 다음 시도의 출발점이 된다.","연구 결과를 반복 전달할 때 오차·기억 손실·검증 비용이 누적되는 반례, 다른 사람의 노력과 공로가 주인공의 정보로만 흡수되는 윤리 문제, 실패한 시간선의 관계가 장기적으로 남기는 비용은 추가 독해가 필요하다.","고생 뒤 전혀 관계없는 보상이나 능력치가 주어지는 일반 성장 보상은 제외한다. 실패 횟수가 단순 숫자 자랑으로만 쓰이거나, 과거 비용의 형태가 최종 전력과 연결되지 않으면 포함하지 않는다.",Yes,No,VERIFIED_THREAD,REF-26 원문 1~70화 직접 독해,REF-26 (https://app.notion.com/p/REF-26-581baa79eaae823e8c990170a420284f?pvs=21),판정 보류,초반에는 수천 번의 자기 죽음이 외부 관찰자에게 대량 살해로 오독되지만 후속 전투에서는 같은 죽음들이 사자 군단·이명·권한으로 정산된다. 이후 또 다른 세계에서는 제한 시간 안에 치료제를 만들 수 없다는 판단이 내려진다. 주인공은 첫 시도에서 전문가들이 열흘 동안 축적한 연구 결과와 서류를 기억한 뒤 죽어 첫날로 돌아간다. 다음 시도에서는 미래 연구 결과를 정체를 숨긴 분석 자료로 전달해 시행착오를 건너뛰게 한다. 실패한 시간선의 죽음과 노력은 사라지지 않고 다음 시도의 시간 자본이 된다.,"누적 실패의 보상은 전투 능력에만 한정되지 않는다. 실패한 시도에서 얻은 관찰·연구·관계 정보를 다음 시도의 초기 조건으로 옮기면, 이미 소비된 시간이 압축된 준비 기간으로 변한다. 중요한 점은 정답을 갑자기 아는 것이 아니라 첫 시도에서 전문가들이 실제로 연구하고 틀리고 기록한 과정이 존재한다는 것이다. 주인공은 그 결과를 독점하지 않고 원래 전문가에게 돌려주어 더 앞선 단계부터 작업하게 한다.",실패한 시간선의 실제 작업 + 기록과 암기 + 죽음 또는 리셋 비용 + 다음 시도의 선행 자료 제공 + 원래 전문가의 재검증과 후속 연구가 결합해 소멸한 시간을 지식 자본으로 전환한다.,"사라진 실패 시간선의 노력과 자료를 어떻게 다음 시도의 출발점으로 옮겨, 이미 치른 시간을 전력과 연구 기간으로 다시 사용하는가?","1~10화 반복 자기 죽음과 외부 오독, 38~50화 누적 죽음의 군단·이명·협상 자원화, 66~68화 첫 열흘의 연구와 실패, 69화 연구 결과 암기·회귀, 69~70화 첫날 선행 전달과 연구 가속"
TH-REF01-EXP-01 · 겉말과 속계산을 행동·공간으로 분리하기,REF-01,exact,약자 시절 폭력 회피용 겉말/속계산이 23~25에서는 타인의 선택 범위를 설계하는 지배 기술로 변한다.,"26~379의 실패한 협상, 상대의 역이용, 말투와 권력 변화 전사",속마음을 매번 지문으로 번역하면 독자가 행동을 해석할 여지가 사라진다. 반대로 행동 정산이 없으면 표면/내면 분리는 설정 설명에 그친다.,Yes,No,VERIFIED_THREAD,"제공본 1 · 4~6 · 23~25 · 원문 3~462, 1371~2436, 8765~9842행",REF-01 (https://app.notion.com/p/REF-01-b1ebaa79eaae82449d4781d49d57197f?pvs=21),,"표현 순서=상대 권한 파악→상대가 인정하는 명분으로 질문/지연→공간 규칙 확인→표면 태도 변경→행동으로 진짜 의도 정산. 같은 공손함도 감사·생존 연기·정보 획득이 겹치고, 같은 위로도 설득과 지배가 겹친다.","주인공의 말투는 고정된 공손체나 냉소체가 아니다. 약자일 때는 막 일어난 사람처럼 소리를 내고, 상대 조직의 ‘성실한 제자’ 명분을 이용해 계약서를 읽을 시간을 확보하며, 공개 공간에서 폭력을 쓰기 어렵다는 규칙을 확인한 뒤 단호해진다. 강자가 된 뒤에는 살고 싶은 욕망을 인정하는 위로처럼 들리는 말을 사용해 상대의 자살 결의를 꺾고 계약 서명으로 이끈다. 발화의 실제 의미는 문장만이 아니라 권한·공간·칼을 꺼내는 행동·계약 결과에서 확정된다.",,"힘이 커진 뒤 상대의 명분을 이용하는 대화가 일방 조종으로 굳어지는가, 아니면 상대도 프레임을 되돌리는가?","약자 시절 순종 연기, 계약 협상과 거절, 포로 심문·강제 계약·공개 호칭 설계"
TH-REF26-GOV-01 · 무오류 약속 대신 상호 교정권을 주어 신뢰를 만든다,REF-26,exact,"후속 계승 장면에서 공동체가 최고 지도자 직함을 제안하지만, 인물은 자신에게 아직 가르칠 역량이 부족하다고 공개하고 과도기 직함만 수용한다. 이는 앞선 상호 교정 계약이 말뿐인 겸손이 아니라 실제 권한 범위 제한으로 이어진 두 번째 증거다. 이후 그는 제한된 직함과 별개로 거점 투자와 운영 책임은 회피하지 않는다.","교정하는 상대의 판단도 틀렸을 때의 해결 방식, 양측 최선이 충돌할 때의 최종 결정권, 개인 한 명이 아니라 집단과 제도로 상호 견제를 확장하는 방법은 추가 독해가 필요하다.","‘나도 틀릴 수 있다’는 막연한 겸손만 말하고 누구에게도 개입권을 주지 않으면 제외한다. 공개적 자기비하로 책임을 피하거나, 임시 직함을 핑계로 실제 의무를 거부하는 경우도 적용하지 않는다.",Yes,No,VERIFIED_THREAD,REF-26 원문 85~88화 직접 독해,REF-26 (https://app.notion.com/p/REF-26-581baa79eaae823e8c990170a420284f?pvs=21),복합 유사,"강력한 능력을 지닌 새 동료는 주인공에게 연민과 공정성을 증명하고 이전 주인을 심판할 때 사적 감정을 배제하겠다고 약속하라고 요구한다. 주인공은 칭찬과 호의를 원하는 자신의 약점, 스승의 죽음으로 인한 분노, 판단이 흔들릴 가능성을 먼저 인정한다. 객관성을 보장한다는 거짓 약속 대신 자신이 엇나가면 상대도 최선을 다해 바로잡아 달라고 제안하고, 양쪽이 서로의 최선을 약속한다. 이후 공동체가 최고 지도자 직함을 바치자 그는 현재의 교육·통치 역량 부족을 이유로 완전한 권한을 거절하고 임시 직함만 받아들인다. 동시에 거점 투자와 후속 운영 책임은 수행한다.","강한 권한을 맡을 사람이 신뢰를 얻는 방법은 자신이 순수하고 틀리지 않는다고 증명하는 것이 아니다. 어떤 감정과 약점 때문에 오판할 수 있는지 공개하고, 함께하는 상대에게 실제로 제동하고 교정할 권리를 주어야 한다. 자기 인식은 상호 견제 계약과 권한 범위 제한으로 이어질 때만 통치 원리가 된다. 권한은 제한하되 책임까지 축소하지 않는 것이 핵심이다.",고위험 능력과 권한 + 도덕적 확실성 요구 + 사적 감정과 인정 욕구의 명시적 고백 + 거짓 무오류 약속 거부 + 상호 최선과 교정권 계약 + 공동체의 권위 제안 + 현재 역량에 맞춘 임시 직함 + 실제 운영 책임 수행이 결합한다.,"강하지만 오류 가능성이 있는 지도자가 순수성과 무오류를 주장하지 않고, 상호 교정권과 권한 제한을 제도화해 신뢰를 얻으려면 무엇을 공개하고 누구에게 어떤 제동권을 주어야 하는가?","85화 계승 기술 검증·최고 직함 제안·과도기 직함 수용, 87화 연민 시험·사적 편향 고백·상호 교정 계약, 88화 제한된 직함과 별개인 투자·운영 책임 수행"
TH-REF04-CHR-01 · 강함의 증가가 책임의 단위를 넓힌다,REF-04,exact,"초기의 무력한 죽음과 타인의 희생이 초반의 매장, U0441의 정신 보존, 후반의 관계·인과 보호로 규모를 넓힌다.",책임 확대가 실제 실패와 관계 파탄을 낳는 중간 구간,모든 책임을 주인공이 흡수하면 주변 인물은 보호 대상에 머물고 세계는 한 사람의 의지로 평면화된다.,Yes,No,VERIFIED_THREAD,U0001~0003 · U0040 · U0441 · U0846~0847 · U0862~0863,REF-04 (https://app.notion.com/p/REF-04-2aebaa79eaae835d99c401be456a2237?pvs=21),,"인물: 능력치가 아니라 보호·처벌·포기의 범위가 변한다. 관계: 이름 없는 피해자에서 오랜 동료와 거대한 존재까지 고려 대상이 확장된다. 사건: 처벌 후 장례, 보상 거부, 집단 임무, 구조 요청이 책임을 시험한다. 표현: 결단 전 계산과 결단 후 돌봄을 함께 보여 영웅적 선언의 공백을 줄인다.",성장의 표시는 더 큰 적을 이기는 데만 있지 않다. 처음에는 자기 생존도 지키기 어렵던 인물이 타인의 시신·뜻·정신·미래 관계까지 자기 판단에 포함시키며 책임의 단위를 넓힌다.,,책임 범위가 넓어질수록 주인공이 직접 해결하지 않고 타인에게 맡기거나 실패를 감수하는 장면이 있는가?,"초기 무력한 생존자, 초반 처벌·장례·시장 행동, 중후반 정신 보존 선택, 후반 집단 임무와 동행"
TH-REF26-ENG-05 · 보상으로 얻은 역할이 권리보다 먼저 의무를 강제한다,REF-26,exact,"85~88화에서 역할과 소유권이 임시 권한과 운영 기반으로 이어진다. 계승자는 공동체 앞에서 대표 기술을 증명한 뒤에도 완전한 지도자 직함을 즉시 받지 않고, 현재 역량에 맞는 과도기 직함만 수용한다. 공략 보상으로 얻은 보호 영토는 이후 개인 재산으로 방치되지 않고 전문가의 약국·예방 접종·다음 층 진입·무인 집단의 본부를 잇는 기반 시설이 된다. 수요 폭증으로 병목이 생기자 경쟁 관계였던 다른 전문가를 보완 인력과 주치의로 재배치한다.","보호 영토의 주민과 새 이주 집단 사이의 권리 충돌, 임시 지도자 직함이 실제 책임 회피로 변하는 반례, 의료·진입 수수료 구조가 독점이나 불평등을 만드는 장기 비용은 추가 독해가 필요하다.",직책이 능력치·명성·복장만 제공하고 인물의 선택이나 타인의 기대를 바꾸지 않으면 제외한다. NPC가 역할을 인정하지 않거나 역할 수행이 사건에 영향을 주지 않는 경우도 제외한다.,Yes,No,VERIFIED_THREAD,REF-26 원문 25~88화 직접 독해,REF-26 (https://app.notion.com/p/REF-26-581baa79eaae823e8c990170a420284f?pvs=21),판정 보류,"직책과 영토는 위기에서 행동 의무를 만들고, 공개 관찰은 대표자의 태도까지 책임 영역으로 확장한다. 후속 계승 장면에서 공동체는 대표 기술을 확인한 뒤 최고 직함과 충성을 제안하지만, 인물은 자신에게 가르칠 역량이 부족하다고 판단해 완전한 지위를 거절하고 과도기 역할을 협상한다. 이후 보호 구역의 토지와 자금을 전문가의 새 거점에 제공하고, 그 거점을 다음 층의 위험 지역으로 진입하기 전 예방 접종을 받는 관문으로 만든다. 수요가 감당 범위를 넘자 기존 경쟁자를 배제하지 않고 진료·응급 대응·후견 역할로 편입한다.","권리와 보상이 책임으로 변하려면 위기 순간의 선행만으로 끝나서는 안 된다. 인물은 현재 능력보다 큰 직함을 스스로 제한하고, 소유한 영토·자금·명성을 다른 사람의 전문성과 이동 경로가 실제로 작동하는 기반으로 바꿔야 한다. 운영이 시작된 뒤 나타나는 대기열·동선·인력 부족까지 처리할 때 보호자나 관리자의 역할이 제도적 현실성을 얻는다.",보상으로 얻은 직책·영토 + 공개된 자격 검증 + 현재 역량에 맞춘 임시 권한 + 전문가 거점 투자 + 위험 지역 진입 전 예방 서비스 + 다자 수익 구조 + 수요 폭증 뒤 보완 인력 편입이 결합해 특권을 지속 가능한 관리 책임으로 바꾼다.,보상으로 얻은 지위와 영토를 과도기 권한·전문가 거점·이동 관문·보완 인력까지 갖춘 지속 가능한 책임 구조로 어떻게 전환하는가?,"25~30화 직책 선택과 의무, 31~33화 작은 증거로 집단 역할 복구, 51~56화 경제 이익 포기·보호 구역·공개 대표 책임, 85화 계승 자격 검증과 임시 직함, 88화 보호 영토의 의료 거점화·다음 층 진입 동선·수요 병목과 보완 인력 편입"
TH-REF08-ORG-01 · 아이디어가 타인의 이해를 거쳐 제도가 된다,REF-08,exact,U0036~0037의 정책이 여러 손을 거치는 구조가 U0450의 발명품 채택과 후반의 외교·정보 조직에서 더 큰 규모로 되풀이된다.,각 제도의 중간 성과·실패·폐기 전사와 결말 이후 평가,주변 인물의 질문이 결국 주인공의 천재성을 확인하는 절차에 그치면 다중 행위자처럼 보여도 실질 판단권은 하나뿐이다.,Yes,No,VERIFIED_THREAD,U0036~0037 · U0450 · U0910 · U0915,REF-08 (https://app.notion.com/p/REF-08-736baa79eaae8216b39f01ee4a4ab92e?pvs=21),,"인물: 제안자·결정자·비판자·집행자가 서로 다른 지식과 이해관계를 가진다. 관계: 질문의 깊이와 위임 범위가 신뢰를 바꾼다. 사건: 도식→검토→시험→보고→집행→부작용의 사슬이 형성된다. 표현: 회의 대사만이 아니라 문서 이동, 인력 배치, 지역 선택, 보완재, 후속 조직으로 변화가 보인다.","아이디어는 주인공이 말한 순간 완성되지 않는다. 통치자의 이해, 전문가의 비판, 시험 지역의 보고, 집행 조직, 사용자의 새 분류를 통과하며 다른 것이 된다. 제도화는 아이디어의 확대가 아니라 소유권과 책임의 이동이다.",,아이디어가 조직의 언어로 바뀐 뒤 원래 목적이 훼손될 때 누가 중지권과 수정권을 가지는가?,"정책 제안과 비판·시험 시행, 물건의 사회적 재분류, 후반 외부 세력·비밀 조직의 운영"
