장면명,REF 코드,TH 색인,관찰 좌표,등록 시각,마지막 검토,연결 장면,원문 위치,원문 확보,인물,작품명,장면 ID,장면 역할,장면 조건,집필 지시문 없음,집필용 준비,표면 모방 위험,화수
15화 · 천재의 경공 부족과 강호 초출의 도주 대응 실패가 그대로 드러나는 장면,REF-11,https://app.notion.com/p/3b0baa79eaae81eea317f29d3053f6db,"동료 셋이 차례로 정연신을 앞지르고, 적은 정면 교환을 피한다. 정연신은 완전히 자세를 잡았지만 상대가 방향을 틀자 대응하지 못한다. 실패 뒤 선배들은 원인을 분리해 설명하고 각 신입의 다른 결함을 평가한다.",2026년 8월 4일 오후 10:02,2026년 8월 4일,8화 공개 비무에서의 천재 인정 / 10화 마광결 교육 / 14화 첫 임무 보호 책임,15화 4~156행,Yes,"정연신, 백미려, 청명, 헌원창, 혈염교도",시한부 천재가 살아남는 법,SCENE-12,"대비, 실패, 후속","첫 외부 임무, 정연신은 정면 교전과 쾌검에는 강하지만 경공·보법이 부족함, 적은 정면 승부 대신 도주용 보신경을 사용함",Yes,대비 포함 준비,낮음,15화
14화 · 첫 임무에서 상급자가 신입의 보호 책임을 명시적으로 떠안는 배치 장면,REF-11,https://app.notion.com/p/3b0baa79eaae81798183f137cff283b3,마진은 임무의 배경과 불확실성을 설명하고 신입의 들뜸을 경계한다. 청색 고수 둘에게 백색 신입을 무사히 돌아오게 할 책임을 직접 부여한다. 보호는 감정 선언이 아니라 임무 편성과 책임 발화로 나타난다.,2026년 8월 4일 오후 10:02,2026년 8월 4일,15화 경공 부족과 도주 실패 / 이후 백미려·청명의 평가와 책임 분담,14화 104~196행,Yes,"정연신, 헌원창, 백미려, 청명, 마진",시한부 천재가 살아남는 법,SCENE-11,"선행, 핵심","신입 두 명의 첫 외부 임무, 적대 세력은 혈염교와 연관됨, 상급자 둘이 동행함, 임무 정보와 실제 위험이 완전히 확정되지 않음",Yes,대비 포함 준비,낮음,14화
2화 · 악령 처형 뒤 주변 태도를 표본 삼아 역할 연기를 시작하는 장면,REF-46,https://app.notion.com/p/3b2baa79eaae81ff8a82e39db9463f0f,처벌 사례와 집단의 무반응이 먼저 현지 규범을 증명한다. 중심 인물은 주변 태도를 표본으로 삼아 표정과 반응을 수행한다.,2026년 8월 5일 오전 2:17,2026년 8월 5일,6~7화 동행자 시험 / 150화 동료의 현재 인격 판정,301~417행,Yes,"비요른 얀델, 오름, 부족장, 성인식의 어린 전사들",게임 속 바바리안으로 살아남기,SCENE-13,"선행, 핵심",같은 외부 인격이 정체를 드러낸 즉시 처벌되고 집단은 의례를 중단하지 않으며 중심 인물은 현지 규범을 알지 못함,Yes,대비 포함 준비,높음,2화
151화 · 생존 교육이 후배의 과잉 전승으로 되돌아와 책임을 묻는 장면,REF-46,https://app.notion.com/p/3b2baa79eaae81ff8a82e39db9463f0f,후배의 교육 성공을 먼저 보상한 뒤 인간 이름을 붙인 전리품과 집단 구호를 공개해 빠진 경계가 종족 전체 적대로 확장됐음을 드러낸다.,2026년 8월 5일 오전 2:17,2026년 8월 5일,153~154화 기존 지도자와 교육권 충돌 / 154화 인간 전체 적대 교육 수정,"73,253~73,364행",Yes,"비요른 얀델, 카론, 어린 전사들",게임 속 바바리안으로 살아남기,SCENE-16,"대비, 실패, 후속",생존 교육을 받은 후배가 더 어린 구성원을 가르치는 위치에 올랐지만 가르침의 경계는 전달되지 않음,Yes,대비 포함 준비,높음,151화
154화 · 기존 지도자가 패배를 인정하지 않은 채 교육권과 도전 조건을 넘기는 장면,REF-46,https://app.notion.com/p/3b2baa79eaae81ff8a82e39db9463f0f,기존 지도자는 전면 사과하거나 자리를 넘기지 않는다. 과거 실패와 제약을 공개하고 교육 유효성을 인정하되 금지선·감시·도전 조건을 붙인다.,2026년 8월 5일 오전 2:17,2026년 8월 5일,153~154화 지도 책임 충돌 / 154화 과잉 교육 수정,"74,393~74,579행",Yes,"비요른 얀델, 부족장",게임 속 바바리안으로 살아남기,SCENE-18,"대비, 후속",젊은 전사가 공개적으로 지도자의 자리를 원한다고 선언했고 둘은 물리적 충돌까지 벌였으나 생존 문제에는 일부 공통 인식이 있음,Yes,대비 포함 준비,중간,154화
6~7화 · 종족 선입견을 이용해 동행자를 시험하고 실제 습격을 피하는 장면,REF-46,https://app.notion.com/p/3b2baa79eaae81ff8a82e39db9463f0f,"무해한 역할 연기로 빈틈을 보이되, 한 번의 신뢰 판정 뒤에도 잠들지 못하는 비용이 남는다. 반복한 위장이 실제 습격을 감지하게 한다.",2026년 8월 5일 오전 2:17,2026년 8월 5일,2화 역할 연기 시작 / 150화 가까운 동료에게 위장이 통하지 않는 장면,"2,513~3,063행",Yes,"비요른 얀델, 한스",게임 속 바바리안으로 살아남기,SCENE-14,"대비, 실패",낯선 사람과 서로 잠을 맡기는 임시 거래를 해야 하지만 양쪽 모두 상대를 온전히 믿지 않음,Yes,대비 포함 준비,높음,6~7화
154화 · 공개 도전 선언 뒤 인간 전체 적대 교육을 동료 사례로 수정하는 장면,REF-46,https://app.notion.com/p/3b2baa79eaae81ff8a82e39db9463f0f,"도전 조건을 군중 앞에서 공개해 새 지위를 사회적 사실로 만든 뒤, 희생한 인간 동료의 사례로 종족 분류보다 행동 기준을 우선하도록 교육을 수정한다.",2026년 8월 5일 오전 2:17,2026년 8월 5일,151화 과잉 전승 / 154화 조건부 교육권 이양,"74,581~74,665행",Yes,"비요른 얀델, 아이나르, 카론, 주변 바바리안들, 드왈키",게임 속 바바리안으로 살아남기,SCENE-19,"실패, 후속",조건부 교육권을 얻었지만 기존 교육은 인간 전체에 대한 증오로 확장될 위험이 이미 드러남,Yes,대비 포함 준비,중간,154화
150화 · 동료가 정체 의심보다 누적 행동으로 현재 인격을 판정하는 장면,REF-46,https://app.notion.com/p/3b2baa79eaae81ff8a82e39db9463f0f,"가까운 동료는 전형적 분노 연기를 간파한다. 의심 근거와 반증 행동을 차례로 제시해 현재의 사람을 판정하고, 노출 위험을 경고한다.",2026년 8월 5일 오전 2:17,2026년 8월 5일,2화 역할 연기 시작 / 6~7화 위장 비용 / 151화 교육의 과잉 전승,"72,483~72,717행",Yes,"비요른 얀델, 로트밀러, 팀 반푼이",게임 속 바바리안으로 살아남기,SCENE-15,"미해결, 핵심, 후속",눈치 빠른 동료가 비정상적 지식과 행동을 근거로 외부 인격을 의심하지만 장기간 함께한 행동 기록도 알고 있음,Yes,대비 포함 준비,높음,150화
153~154화 · 생존 강의가 기존 지도자의 방치 책임과 후계 선언으로 전환되는 장면,REF-46,https://app.notion.com/p/3b2baa79eaae81ff8a82e39db9463f0f,실용 교육을 누적한 뒤 권력자를 등장시킨다. 중심 인물은 변명 대신 사망률·장비·교육 부재를 질문하고 자신이 책임을 맡겠다고 선언한다.,2026년 8월 5일 오전 2:17,2026년 8월 5일,151화 과잉 전승 / 154화 조건부 교육권 이양,"74,113~74,389행",Yes,"비요른 얀델, 카론, 어린 전사들, 부족장",게임 속 바바리안으로 살아남기,SCENE-17,핵심,실전 생존 지식을 가르치던 중 기존 지도자가 현장을 목격하고 교육 내용이 전통과 지도 책임을 건드림,Yes,대비 포함 준비,높음,153~154화
453~454화 · 해고된 행정 전문가를 필요 기반으로 고용하고 실제 부서 권한을 넘기는 장면,REF-46,https://app.notion.com/p/3b2baa79eaae81ff8a82e39db9463f0f,친구를 돕는 시혜가 아니라 실제 직무 필요와 급여를 제시한다. 현장 오해를 풀고 통계·재정·도시 계획으로 업무를 나누며 미래 부서장 권한까지 준다.,2026년 8월 5일 오전 2:23,2026년 8월 5일,452화 내부·외부 역할 분리 / 650~651화 기술 교육과 고용 확대,"223,899~224,329행",Yes,"비요른 얀델, 샤빈 에무어, 메리 제이나, 셰퍼드 램든, 릭 앤더슨, 바바리안 전사들",게임 속 바바리안으로 살아남기,SCENE-21,"핵심, 후속",내부 행정 능력은 없고 외부 전문가들은 실직 상태지만 낯선 조직에서 일할 위험과 업무 오해가 있음,Yes,대비 포함 준비,중간,453~454화
651화 · 회사 등록으로 전사를 직원으로 바꾸고 성별·세대별 교육과 고용 경로를 여는 장면,REF-46,https://app.notion.com/p/3b2baa79eaae81ff8a82e39db9463f0f,사업자 승인과 직원 등록으로 전사 집단을 노동 조직으로 바꾼다. 성인 남성·여성·문해력을 가진 아이에게 서로 다른 교육과 고용 경로를 제시한다.,2026년 8월 5일 오전 2:23,2026년 8월 5일,650화 비전투 노동의 명예화 / 651화 외부 전문가 교육·감독 구조,"311,281~311,359행",Yes,"비요른 얀델, 샤빈 에무어, 바바리안 전사들, 비프론 주민들",게임 속 바바리안으로 살아남기,SCENE-24,후속,대규모 인력을 합법적으로 일하게 할 고용 주체와 전투 외 역할이 없는 성인·아이의 경로가 필요함,Yes,대비 포함 준비,중간,651화
651화 · 외부 전문가의 분업을 단기 대행에서 교육·감독·권한 위임 구조로 바꾸는 장면,REF-46,https://app.notion.com/p/3b2baa79eaae81ff8a82e39db9463f0f,단순 노동과 전문 노동을 나눈 뒤 교육 부족을 한계로 확인한다. 전문가 한 명이 열 명을 감독하는 구조를 만들고 중요한 준비를 전문가에게 완전히 위임한다.,2026년 8월 5일 오전 2:23,2026년 8월 5일,650화 비전투 노동 평가 / 651화 회사 등록과 세대별 고용 경로,"311,157~311,259행",Yes,"비요른 얀델, 골드비어드 백작가의 드워프 기술자들, 바바리안 작업자들",게임 속 바바리안으로 살아남기,SCENE-23,"핵심, 후속",내부 작업자는 힘과 속도는 있지만 전문 기술이 없고 외부 전문가는 단기 성과와 장기 전승을 함께 설계해야 함,Yes,대비 포함 준비,중간,651화
452화 · 전투 지도자와 행정 전문가의 역할을 분리해 외부 전문 인력을 찾는 장면,REF-46,https://app.notion.com/p/3b2baa79eaae81ff8a82e39db9463f0f,새 지도자가 공금·문서·인력 공백을 개인 희생으로 버티지 않고 우선순위 목록으로 바꾼다. 내부 장로에게는 교육·전투 역할만 남기고 행정은 외부 전문가에게 맡긴다.,2026년 8월 5일 오전 2:23,2026년 8월 5일,453~454화 외부 행정 전문가 고용과 조직 창설,"223,350~223,490행",Yes,"비요른 얀델, 아이나르, 은퇴한 장로들",게임 속 바바리안으로 살아남기,SCENE-20,"핵심, 후속",새 지도자가 빈 금고·문서·인력 공백을 떠안았고 내부 전사들은 행정 문해력이 부족함,Yes,대비 포함 준비,중간,452화
650화 · 비전투 노동을 기존 명예와 보상 체계에 연결한 뒤 능력 한계를 공개 평가하는 장면,REF-46,https://app.notion.com/p/3b2baa79eaae81ff8a82e39db9463f0f,보상·공개 칭찬·경연으로 기존 인정 욕구를 건축 노동에 연결한다. 열의를 먼저 보여 준 뒤 운반·속도 장점과 설계·정밀 기술 결함을 항목별로 공개한다.,2026년 8월 5일 오전 2:23,2026년 8월 5일,651화 외부 전문가의 교육·감독 구조 / 회사 등록과 고용 경로,"311,053~311,155행",Yes,"비요른 얀델, 아이나르, 샤빈 에무어, 건축 작업에 참여한 바바리안들",게임 속 바바리안으로 살아남기,SCENE-22,"대비, 핵심",전투만 가치 있다고 믿던 구성원에게 건축 노동을 지속시키고 실제 사업 투입 수준을 평가해야 함,Yes,대비 포함 준비,중간,650화
17화 · 축소 지도와 사라진 상호를 현지 증언으로 대조해 시대차 가설을 세우는 장면,REF-46,https://app.notion.com/p/3b2baa79eaae81789b63cac5e62439c1,게임 지도는 방향만 주고 실제 거리를 주지 못한다. 사라진 상호를 현지인의 기억과 대조해 동일 세계의 다른 시대라는 가설을 강화하되 도서관 조사와 현장 방문을 남긴다.,2026년 8월 5일 오전 2:32,2026년 8월 5일,171화 게임에 없던 건물·일기 장면 / 309~310화 게임에 없던 생존 정보 공개,"7,427~7,465행",Yes,"비요른 얀델, 라프도니아의 중년 주민, 에르웬",게임 속 바바리안으로 살아남기,SCENE-26,핵심,게임에서 알던 약속 장소의 대략적 방향은 기억하지만 실제 도시는 훨씬 크고 상호도 현재 존재하지 않음,Yes,대비 포함 준비,중간,17화
3화 · 미궁 진입을 생계·신체·죽음 비용으로 다시 계산하는 장면,REF-46,https://app.notion.com/p/3b2baa79eaae81789b63cac5e62439c1,게임에서는 버튼으로 끝나던 진입을 현실의 생계 제한·신체 상태·죽음 공포로 다시 계산한다. 마지막에는 게임식 예/아니오 문법을 빌리지만 그 판단은 곧 검증될 확신으로만 남는다.,2026년 8월 5일 오전 2:32,2026년 8월 5일,4화 첫 문단의 과거형 확신 반전 / 31화 수치 밖 신체·정신 변수 장면,"959~1,223행",Yes,"비요른 얀델, 아이나르",게임 속 바바리안으로 살아남기,SCENE-25,"대비, 핵심",미궁에 들어가면 죽을 수 있지만 종족 신분 때문에 도시 생계도 막힐 가능성이 높고 입장 마감이 임박함,Yes,대비 포함 준비,높음,3화
171화 · 게임에 없던 건물과 일기로 현실 전용 역사 단서를 확보하는 장면,REF-46,https://app.notion.com/p/3b2baa79eaae81789b63cac5e62439c1,무반응 비석을 포기한 뒤 주변 탐색에서 게임에 없던 건물과 기록을 찾는다. 기록은 차원·생존자·멸망 사건을 연결하고 즉시 물적 단서 검증으로 이어진다.,2026년 8월 5일 오전 2:32,2026년 8월 5일,171화 비석 직접 탐색 중단 / 171~172화 현실 전용 물품 전문 감정,"82,737~82,855행",Yes,"비요른 얀델, 레이븐, 미샤 칼스타인, 아이나르",게임 속 바바리안으로 살아남기,SCENE-29,"핵심, 후속",게임 랜드마크 자체에서는 단서를 얻지 못했지만 주변을 수색할 시간과 팀원이 있으며 현실에는 게임에 없던 구조물이 존재할 수 있음,Yes,대비 포함 준비,높음,171화
171화 · 무반응 비석을 재검증하되 제한 시간에 직접 집착을 중단하는 장면,REF-46,https://app.notion.com/p/3b2baa79eaae81789b63cac5e62439c1,게임에서 기능이 없던 비석도 현실에서는 재검증한다. 그러나 30분 뒤 시간 비용이 커지자 기록 조사로 질문을 넘기고 주변 탐색으로 방법을 바꾼다.,2026년 8월 5일 오전 2:32,2026년 8월 5일,171화 주변 건물·일기 발견 / 171~172화 물품 전문 감정 이관,"82,653~82,735행",Yes,"비요른 얀델, 레이븐, 미샤 칼스타인",게임 속 바바리안으로 살아남기,SCENE-28,"대비, 실패",게임에서는 무반응인 랜드마크지만 현실 전용 단서 가능성이 있고 미궁 폐쇄까지 시간이 얼마 남지 않음,Yes,대비 포함 준비,중간,171화
31화 · 수치상 충분한 파티가 공포·구토·시전 반동으로 붕괴하는 장면,REF-46,https://app.notion.com/p/3b2baa79eaae81789b63cac5e62439c1,게임에서는 충분한 전력인 파티가 현실의 냄새·공포·신체 반동으로 무너진다. 붕괴는 추상 설명이 아니라 구르기·피 토하기·몸이 굳었다는 사후 진술로 확인된다.,2026년 8월 5일 오전 2:32,2026년 8월 5일,3화 진입 확신 / 171화 직접 탐색 중단과 방법 전환,"14,391~14,485행",Yes,"비요른 얀델, 아이나르, 히쿠로드 무라드, 레이븐, 타르진",게임 속 바바리안으로 살아남기,SCENE-27,"실패, 핵심",게임 수치와 역할 구성만 보면 충분히 승리 가능한 전투였으나 실제 시체 냄새·공포·마법 시전 반동이 발생함,Yes,대비 포함 준비,높음,31화
409화 · 예상보다 쉬운 적 배치를 정찰과 소음 통제로 다시 검증하는 장면,REF-46,https://app.notion.com/p/3b2baa79eaae81789b63cac5e62439c1,목표 거점의 병력이 예상보다 적어도 즉시 낙관하지 않는다. 추가 척후·회복·기술 사용 금지·주변 확인을 거쳐 변수 부재를 확인한 뒤 공격을 명령한다.,2026년 8월 5일 오전 2:33,2026년 8월 5일,171화 제한 시간에 조사 방법을 바꾸는 장면 / 447화 전문가에게 물품 판정을 넘기는 장면,"199,313~199,423행",Yes,"비요른 얀델, 아멜리아 레인웨일즈, 멜란드 카이슬란, 원정대 척후조",게임 속 바바리안으로 살아남기,SCENE-33,대비,익숙한 지역과 작전 구도는 알고 있지만 목표 거점의 실제 병력 수가 예상보다 적어 함정 가능성이 남음,Yes,대비 포함 준비,중간,409화
409화 · 정수 획득 순서가 현실의 선행 선택 연쇄로 뒤집힌 것을 재계산하는 장면,REF-46,https://app.notion.com/p/3b2baa79eaae81789b63cac5e62439c1,게임의 정석 획득 순서와 달리 이미 보유한 정수를 마주한다. 현재 차이를 오류로 끝내지 않고 더 이른 희귀 획득이 연쇄적으로 가능하게 한 전투들을 역산한다.,2026년 8월 5일 오전 2:33,2026년 8월 5일,31화 현실 변수로 파티 평가 수정 / 447화 변형 물품의 효과 추정 중단,"199,279~199,311행",Yes,"비요른 얀델, 노아르크 원정대",게임 속 바바리안으로 살아남기,SCENE-32,"대비, 핵심",정석 성장 트리의 몬스터를 처음 처치했지만 그 정수는 이미 다른 경로에서 획득한 상태임,Yes,대비 포함 준비,중간,409화
447화 · 익숙한 비약의 형태 차이를 개량 가능성으로 남기고 전문가 연구에 넘기는 장면,REF-46,https://app.notion.com/p/3b2baa79eaae81789b63cac5e62439c1,익숙한 이름과 기본 효능은 즉시 식별하지만 크기와 형태가 다르자 효과 범위를 확정하지 않는다. 개량 가능성을 남기고 마법사가 연구실에서 확인하기로 한다.,2026년 8월 5일 오전 2:33,2026년 8월 5일,171~172화 게임에 없던 물품의 특수 감정 이관 / 409화 성장 순서 재계산,"220,681~220,733행",Yes,"비요른 얀델, 아멜리아 레인웨일즈, 베르실, 리리스 마로네, 원정대원들",게임 속 바바리안으로 살아남기,SCENE-34,"핵심, 후속",게임과 과거 현실에서 알고 있던 비약을 발견했지만 제조 주체와 형태가 달라 개량 여부와 효과량이 불명확함,Yes,대비 포함 준비,중간,447화
309~310화 · 게임에 없던 생존 정보를 공개해 은폐 범위와 후속 연구를 시험하는 장면,REF-46,https://app.notion.com/p/3b2baa79eaae81789b63cac5e62439c1,"게임에 없던 생존 정보를 첫 교환 정보로 제시한다. 진실 장치 반응뿐 아니라 누가 처음 듣는지, 제작자가 어디까지 숨겼는지, 다른 참석자가 어떤 연구·정치 판단으로 이어 가는지를 함께 본다.",2026년 8월 5일 오전 2:33,2026년 8월 5일,171화 현실 전용 역사 기록 / 447화 익숙하지만 변형된 물품의 전문가 연구,"153,313~153,415행",Yes,"비요른 얀델, 아우릴 가비스, 라비, 파멸학자, 오르큘리스 단장",게임 속 바바리안으로 살아남기,SCENE-31,"핵심, 후속",게임 제작자와 다른 고인물들이 같은 자리에 있으며 주인공만 아는 게임 비수록 정보를 어떤 수준으로 공개할지 결정해야 함,Yes,대비 포함 준비,높음,309~310화
