표현 단위명,REF 코드,단위 유형,마지막 검토,상태,식별자 비노출,없으면 사라지는 것,원문 위치,원본 표현 장면,익명 원문 단위,작동 결과,정리문 제외,직전 배치,직후 배치,표면 모방 위험,표현 목적
상징적 가면을 본 순간 눈부터 감는 오래된 놀람 습관,REF-46,행동,2026년 8월 5일,준비,Yes,"진입 시기·성장 속도·과거 취향만으로는 통계적 추론에 머문다. 현재 몸과 과거 인물을 직접 연결하는 무의식적 생활 증거와, 관찰자가 마지막까지 확신하지 못했다는 위험이 사라진다.","647화 309,739~309,761행",시기·성장·취향·순간 습관으로 정체를 판정하고 필요한 층만 공개해 별도 연락권을 만드는 장면 (%EC%8B%9C%EA%B8%B0%C2%B7%EC%84%B1%EC%9E%A5%C2%B7%EC%B7%A8%ED%96%A5%C2%B7%EC%88%9C%EA%B0%84%20%EC%8A%B5%EA%B4%80%EC%9C%BC%EB%A1%9C%20%EC%A0%95%EC%B2%B4%EB%A5%BC%20%ED%8C%90%EC%A0%95%ED%95%98%EA%B3%A0%20%ED%95%84%EC%9A%94%ED%95%9C%20%EC%B8%B5%EB%A7%8C%20%EA%B3%B5%EA%B0%9C%ED%95%B4%20%EB%B3%84%EB%8F%84%20%EC%97%B0%EB%9D%BD%EA%B6%8C%EC%9D%84%20%EB%A7%8C%EB%93%9C%EB%8A%94%20%EC%9E%A5%203b2baa79eaae81a5ab90edf58136cf36.csv),"과거 지인 A는 상징적 가면을 보고도 주인공이 숨겼다고 생각한 반응을 짚으며, 놀라면 잠시 눈부터 감는 습관이 예전과 같았다고 말한다.","장기 수치 증거와 현재의 무의식 반응이 결합돼 두 신분이 같은 인물이라는 판정이 확정되고, 주인공은 자신도 몰랐던 습관을 앞으로 경계하게 된다.",Yes,주인공은 상대가 가면 정체를 맞혔다는 사실에 더 놀라며 자신이 어떤 반응을 보였는지 부정한다.,"관찰자는 그 반응 덕분에 과거 이름을 부를 용기를 얻었다고 밝히고, 정체 공개의 이유를 서로 묻기 시작한다.",중간,"정보 공개, 정보 은폐"
새 능력 목록 직후 손등을 그어 사라진 재생을 확인하는 행동,REF-46,행동,2026년 8월 5일,준비,Yes,"재생 감소가 시스템 문구로만 남고, 상위 성장의 대가가 현재 몸의 상처와 이후 지원 의존으로 이어진다는 감각이 사라진다.","139화 67,071~67,101행",유용한 코어를 희생한 직후 사라진 능력을 몸으로 검사하고 지원 구조까지 다시 짜는 장면 (%EC%9C%A0%EC%9A%A9%ED%95%9C%20%EC%BD%94%EC%96%B4%EB%A5%BC%20%ED%9D%AC%EC%83%9D%ED%95%9C%20%EC%A7%81%ED%9B%84%20%EC%82%AC%EB%9D%BC%EC%A7%84%20%EB%8A%A5%EB%A0%A5%EC%9D%84%20%EB%AA%B8%EC%9C%BC%EB%A1%9C%20%EA%B2%80%EC%82%AC%ED%95%98%EA%B3%A0%20%EC%A7%80%EC%9B%90%20%EA%B5%AC%EC%A1%B0%EA%B9%8C%EC%A7%80%20%EB%8B%A4%EC%8B%9C%20%EC%A7%9C%EB%8A%94%20%EC%9E%A5%EB%A9%B4%203b2baa79eaae814f9d26f56ec257b95a.csv),새 능력과 감소 항목을 확인한 주인공은 칼로 손등을 그어 피를 낸다. 기다려도 상처가 낫지 않자 기존 재생이 실제로 사라졌다고 판정한다.,"새 성장의 손실이 몸으로 확정되고, 최종 조합·생존율·장비·포션 담당·진형을 다시 계산하는 후속 판단이 열린다.",Yes,상위 성장 자원의 능력치 상승과 기존 재생·감각 감소가 시스템 문구로 제시된다.,주인공은 이전 역할 컨셉이 크게 바뀌었음을 인정하고 최종 조합을 후보군으로 되돌린다.,중간,"성장 증명, 한계 인정"
보상 문구가 끝나기 전에 짧은 거절로 종료 절차를 끊는 발화,REF-46,대사,2026년 8월 5일,준비,Yes,"형식상 성공에 대한 불만이 긴 설명 뒤의 의견으로 약화되고, 시스템 판정이 완성되기 전에 공략자가 종료 권한을 되찾는 충격이 사라진다.","912화 419,243~419,268행",형식상 성공과 높은 보상을 당사자의 불만족 표정으로 거절하고 현재 욕망을 다시 묻는 장면 (%ED%98%95%EC%8B%9D%EC%83%81%20%EC%84%B1%EA%B3%B5%EA%B3%BC%20%EB%86%92%EC%9D%80%20%EB%B3%B4%EC%83%81%EC%9D%84%20%EB%8B%B9%EC%82%AC%EC%9E%90%EC%9D%98%20%EB%B6%88%EB%A7%8C%EC%A1%B1%20%ED%91%9C%EC%A0%95%EC%9C%BC%EB%A1%9C%20%EA%B1%B0%EC%A0%88%ED%95%98%EA%B3%A0%20%ED%98%84%EC%9E%AC%20%EC%9A%95%EB%A7%9D%EC%9D%84%20%EB%8B%A4%EC%8B%9C%20%EB%AC%BB%EB%8A%94%20%EC%9E%A5%EB%A9%B4%203b3baa79eaae81deb8f1f430ce6e2d29.csv),"시스템이 높은 점수와 접근 보상을 끝까지 선언하기 전에 공략자가 짧고 거친 부정으로 문장을 끊고, 아직 아무것도 끝나지 않았다고 되돌리라고 요구한다.","완료된 퀘스트가 즉시 미완료 상태로 재분류되고, 판단 기준이 시스템 점수에서 현재 당사자의 표정과 미해결 욕망으로 이동한다.",Yes,남매 탈출과 소망 청취가 높은 점수로 평가되고 새로운 보상이 부여되려 한다.,공략자는 포탈 개방까지 막고 왜 만족하지 못하느냐는 질문을 받은 뒤 당사자의 불만족한 얼굴을 근거로 제시한다.,중간,"거절, 권한 이동"
능력 목록 직후 손등을 그어 사라진 재생을 확인하는 행동,REF-46,행동,2026년 8월 5일,준비,Yes,"능력치 상승과 재생 하락이 시스템 설명에 머물고, 주인공이 손실을 몸으로 검증한 뒤 조합·갑옷·전투 방식을 다시 계산하는 판단 전환이 사라진다.","139화 67,049~67,093행",유용한 코어를 희생한 직후 사라진 능력을 몸으로 검증하고 동료 지원 구조까지 다시 짜는 장면 (%EC%9C%A0%EC%9A%A9%ED%95%9C%20%EC%BD%94%EC%96%B4%EB%A5%BC%20%ED%9D%AC%EC%83%9D%ED%95%9C%20%EC%A7%81%ED%9B%84%20%EC%82%AC%EB%9D%BC%EC%A7%84%20%EB%8A%A5%EB%A0%A5%EC%9D%84%20%EB%AA%B8%EC%9C%BC%EB%A1%9C%20%EA%B2%80%EC%A6%9D%ED%95%98%EA%B3%A0%20%EB%8F%99%EB%A3%8C%20%EC%A7%80%EC%9B%90%20%EA%B5%AC%EC%A1%B0%EA%B9%8C%EC%A7%80%20%EB%8B%A4%EC%8B%9C%20%EC%A7%9C%EB%8A%94%20%EC%9E%A5%203b3baa79eaae817c8bc7e6e831163310.csv),새 능력의 상승·하락 항목이 끝나자 주인공은 칼로 손등을 긋고 상처가 회복되지 않는 것을 직접 확인한다.,"추상적 능력 목록이 실제로 잃은 자립성과 새 지원 의존으로 변환되고, 이후 최종 조합과 전투 방식 재계산이 시작된다.",Yes,상위 능력의 근력·내성 상승과 인지·재생 하락이 연속으로 제시된다.,주인공은 기존 보호 역할의 컨셉이 달라졌다고 판정하고 후보 정수·생존율·갑옷·전투 방식을 다시 검토한다.,중간,"성장 증명, 한계 인정"
힘을 전부 버리겠다는 순종을 거절하고 당사자와 관계를 위한 경계로 되돌리는 발화,REF-46,대사,2026년 8월 5일,준비,Yes,"관계 회복이 ‘문제 행동을 한 사람이 모든 힘을 포기하면 된다’는 복종 보상으로 축소되고, 상대가 지배 명령을 거부하면서 당사자의 능력·선택권·자기 책임을 함께 보존하는 판단이 사라진다.","347화 170,287~170,319행",통제 문제를 인정한 상대의 전면 순종을 이용하지 않고 힘과 선택권을 보존한 채 관계 경계를 설정하는 장면 (%ED%86%B5%EC%A0%9C%20%EB%AC%B8%EC%A0%9C%EB%A5%BC%20%EC%9D%B8%EC%A0%95%ED%95%9C%20%EC%83%81%EB%8C%80%EC%9D%98%20%EC%A0%84%EB%A9%B4%20%EC%88%9C%EC%A2%85%EC%9D%84%20%EC%9D%B4%EC%9A%A9%ED%95%98%EC%A7%80%20%EC%95%8A%EA%B3%A0%20%ED%9E%98%EA%B3%BC%20%EC%84%A0%ED%83%9D%EA%B6%8C%EC%9D%84%20%EB%B3%B4%EC%A1%B4%ED%95%9C%20%EC%B1%84%20%EA%B4%80%EA%B3%84%20%EA%B2%BD%EA%B3%84%EB%A5%BC%203b3baa79eaae81b09cc7f738b52082e7.csv),강한 보호자 B가 미움받지 않기 위해 모든 능력을 버리겠다고 하자 귀환자 A는 그럴 필요가 없다고 한다. A는 자기 편의를 위해 명령하는 것이 아니라 B 자신과 두 사람의 관계를 위해 통제 행동을 멈추라고 선을 긋는다.,"능력 포기와 관계 경계가 분리되고, 강한 보호자는 힘을 유지한 채 스스로 연락·경쟁자·외부 활동권을 존중해야 하는 관계 주체로 남는다.",Yes,"보호자 B는 자신의 통제 문제와 상실 뒤 힘을 얻은 과정을 인정하고, 경쟁 동료를 방해하지 않겠다고 약속한 뒤 모든 능력을 삭제하겠다고 제안한다.",귀환자 A는 힘을 유지하라고 하면서도 다시 자신을 가두면 관계를 떠나겠다는 실질적 결과를 제시한다. 이후 숨긴 장비는 반환되지만 막힌 창문은 남는다.,중간,"거절, 관계 회복, 책임 수용"
공식 작위 호명 직후 본명을 군중 앞에 직접 선언해 두 기록을 충돌시키는 발화,REF-46,대사,2026년 8월 5일,준비,Yes,"개인이 누명을 설명해 정정받는 장면으로 축소되고, 조직이 스스로 연 영웅 행사와 기존 낙인 기록을 동시에 유지할 수 없게 만드는 공개성·타이밍·호명권의 충돌이 사라진다.","432화 213,363~213,379행",공개 행사에서 공식 호명과 본명을 충돌시켜 낙인 기록을 비밀 임무 서사로 강제 수정하되 유가족 상실은 남기는 장면 (%EA%B3%B5%EA%B0%9C%20%ED%96%89%EC%82%AC%EC%97%90%EC%84%9C%20%EA%B3%B5%EC%8B%9D%20%ED%98%B8%EB%AA%85%EA%B3%BC%20%EB%B3%B8%EB%AA%85%EC%9D%84%20%EC%B6%A9%EB%8F%8C%EC%8B%9C%EC%BC%9C%20%EB%82%99%EC%9D%B8%20%EA%B8%B0%EB%A1%9D%EC%9D%84%20%EB%B9%84%EB%B0%80%20%EC%9E%84%EB%AC%B4%20%EC%84%9C%EC%82%AC%EB%A1%9C%20%EA%B0%95%EC%A0%9C%20%EC%88%98%EC%A0%95%ED%95%98%EB%90%98%20%EC%9C%A0%203b3baa79eaae815ab1b2e4d2b9bbcc3c.csv),"고위 귀족이 공식 작위와 영웅 호칭으로 인물을 부르는 순간, 당사자는 수천 명 앞에서 그 호칭에 자기 본명을 붙여 응답한다. 기존 공식 기록상 그 본명은 죽었고 낙인찍힌 사람이므로 행사는 즉시 모순에 빠진다.","공권력은 행사의 위신을 지키기 위해 죽음과 낙인 기록을 비밀 임무용 위장으로 즉시 재작성하고, 당사자는 작위·명성·공개 발언권을 되찾는다.",Yes,개선식의 마지막 절차에서 고위 귀족이 조직에 충성하는 작위 영웅을 공식 호명하고 군중의 찬사를 요구한다.,귀족들이 웅성이고 낙인 기록을 문제 삼자 고위 귀족은 행사를 중단하지 않은 채 죽음과 공표가 비밀 임무의 일부였다고 자연스럽게 수습한다.,높음,"권한 이동, 정보 공개"
가족 구출·신분 해결·현재 동료 안전 뒤에만 동료권을 발동시키는 조건문,REF-46,대사,2026년 8월 5일,준비,Yes,"반복 협력이 감정적 화해나 즉시 합류로 축소되고, 가족 생존·법적 신분·현재 동료의 안전을 각각 해결해야 관계 권리가 바뀐다는 계약 구조가 사라진다.","305~306화 151,281~151,409행",가족 상실과 범죄 이력을 지우지 않은 채 구출·신분·안전 조건으로 미래 동료권을 약속하는 장면 (%EA%B0%80%EC%A1%B1%20%EC%83%81%EC%8B%A4%EA%B3%BC%20%EB%B2%94%EC%A3%84%20%EC%9D%B4%EB%A0%A5%EC%9D%84%20%EC%A7%80%EC%9A%B0%EC%A7%80%20%EC%95%8A%EC%9D%80%20%EC%B1%84%20%EA%B5%AC%EC%B6%9C%C2%B7%EC%8B%A0%EB%B6%84%C2%B7%EC%95%88%EC%A0%84%20%EC%A1%B0%EA%B1%B4%EC%9C%BC%EB%A1%9C%20%EB%AF%B8%EB%9E%98%20%EB%8F%99%EB%A3%8C%EA%B6%8C%EC%9D%84%20%EC%95%BD%EC%86%8D%ED%95%98%EB%8A%94%20%203b3baa79eaae81b79a66dfeba06e4a84.csv),제안자 A가 가족 구출과 신분 문제 해결을 약속하자 협력자 B는 두 문제가 해결되고 함께 있어도 다른 동료에게 문제가 없는 상태가 되면 동료가 되겠다고 답한다.,"현재의 적대적 협력은 유지되지만 미래 동료권의 발동 조건이 명시되고, 관계 변화가 호감이 아니라 해결해야 할 세 장부로 고정된다.",Yes,"협력자 B가 가족 상실과 범죄 이력, 복수 목표를 공개하고 제안자 A가 해결 가능한 도움을 제시한다.",두 사람은 즉시 친구가 되지 않고 제한적인 과거·조직 정보를 더 교환하며 각자의 최종 선택권을 남긴다.,중간,"관계 시작, 정보 공개, 조건부 수락"
지원 약속과 같은 문장군에 목표 충돌 시 결별 조건을 함께 두는 발화,REF-46,대사,2026년 8월 5일,준비,Yes,"협력 합의가 막연한 우정이나 전면 동맹으로 읽히고, 서로의 핵심 목표와 비상 계획을 유지한 채 어느 순간 관계를 끝낼지 미리 고정하는 안전장치가 사라진다.","500~501화 246,401~246,533행",예정된 미래와 플랜 B를 공개한 뒤 지원 범위·결별 조건·비상 계획 보유를 명시하는 협력자 계약 장면 (%EC%98%88%EC%A0%95%EB%90%9C%20%EB%AF%B8%EB%9E%98%EC%99%80%20%ED%94%8C%EB%9E%9C%20B%EB%A5%BC%20%EA%B3%B5%EA%B0%9C%ED%95%9C%20%EB%92%A4%20%EC%A7%80%EC%9B%90%20%EB%B2%94%EC%9C%84%C2%B7%EA%B2%B0%EB%B3%84%20%EC%A1%B0%EA%B1%B4%C2%B7%EB%B9%84%EC%83%81%20%EA%B3%84%ED%9A%8D%20%EB%B3%B4%EC%9C%A0%EB%A5%BC%20%EB%AA%85%EC%8B%9C%ED%95%98%EB%8A%94%20%ED%98%91%EB%A0%A5%EC%9E%90%203b3baa79eaae81baa53cccea6d32ced4.csv),협력자 A와 B는 서로 필요한 때 돕고 한쪽의 귀환 목표도 지원하기로 한다. 동시에 각자의 핵심 목표가 충돌하면 그 지점에서 갈라질 수 있다고 같은 대화 안에서 명시한다.,"적·아군 이분법 없이 제한 협력이 성립하고, 미래 충돌이 배신이 아니라 사전에 합의된 결별 절차로 재분류된다.",Yes,"예정된 미래와 장기 은폐 동기, 각자의 플랜 B가 공개되고 서로가 잠재적으로 세계와 동료에게 위험할 수 있음이 확인된다.",두 사람은 전면 신뢰나 비상 계획 폐기 없이 관계를 협력자로 명명하고 각자의 선택권을 유지한다.,중간,"관계 시작, 권한 이동, 조건부 수락"
모두가 질문하되 무엇에 답할지는 답변자가 정하게 하는 규칙 문장,REF-46,대사,2026년 8월 5일,준비,Yes,질문 게임이 다수의 질문권만 강화하고 답변자의 정체 보호·정보 선택권을 잃는다. 거절 사유 검증과 질문 선택권이 별개 권리라는 구조도 사라진다.,"572화 278,379~278,517행",답변 강제 대신 거절 사유를 검증하고 답변자가 질문을 선택하도록 권리를 재배분하는 장면 (%EB%8B%B5%EB%B3%80%20%EA%B0%95%EC%A0%9C%20%EB%8C%80%EC%8B%A0%20%EA%B1%B0%EC%A0%88%20%EC%82%AC%EC%9C%A0%EB%A5%BC%20%EA%B2%80%EC%A6%9D%ED%95%98%EA%B3%A0%20%EB%8B%B5%EB%B3%80%EC%9E%90%EA%B0%80%20%EC%A7%88%EB%AC%B8%EC%9D%84%20%EC%84%A0%ED%83%9D%ED%95%98%EB%8F%84%EB%A1%9D%20%EA%B6%8C%EB%A6%AC%EB%A5%BC%20%EC%9E%AC%EB%B0%B0%EB%B6%84%ED%95%98%EB%8A%94%20%EC%9E%A5%EB%A9%B4%203b3baa79eaae81bebf0ff9b50da39ec0.csv),"참가자 전원이 질문을 제출하지만, 실제로 어느 질문에 답할지는 답변자가 선택한다.","질문자는 질문할 권리를 갖고 답변자는 공개 범위를 고를 권리를 가져, 무조건 답변과 전면 묵비 사이의 중간 규칙이 만들어진다.",Yes,"정체 노출을 이유로 답변을 거절할 수 있는지, 그 사유가 진짜인지 장치로 검사할 수 있는지를 두고 찬반 투표와 규칙 협상이 진행된다.","답변자는 제출된 질문 중 하나를 선택해 답하고, 나머지 질문은 그 턴에서 강제되지 않는다.",중간,"권한 이동, 정보 은폐, 조건부 수락"
발언 발생 여부와 내용의 객관적 진위를 분리해 답하는 문장,REF-46,대사,2026년 8월 5일,준비,Yes,"출처 확인과 사실 확인이 한 덩어리로 합쳐져, 실제 발언이 존재한다는 증거가 내용의 진실성까지 보증하는 오류를 막을 수 없게 된다.","92화 44,993~45,001행",직접 소문을 묻지 않고 알려진 인물을 닻으로 삼아 자발적 연결과 출처·진위를 분리하는 장면 (%EC%A7%81%EC%A0%91%20%EC%86%8C%EB%AC%B8%EC%9D%84%20%EB%AC%BB%EC%A7%80%20%EC%95%8A%EA%B3%A0%20%EC%95%8C%EB%A0%A4%EC%A7%84%20%EC%9D%B8%EB%AC%BC%EC%9D%84%20%EB%8B%BB%EC%9C%BC%EB%A1%9C%20%EC%82%BC%EC%95%84%20%EC%9E%90%EB%B0%9C%EC%A0%81%20%EC%97%B0%EA%B2%B0%EA%B3%BC%20%EC%B6%9C%EC%B2%98%C2%B7%EC%A7%84%EC%9C%84%EB%A5%BC%20%EB%B6%84%EB%A6%AC%ED%95%98%EB%8A%94%20%EC%9E%A5%EB%A9%B4%203b3baa79eaae8171a347e5913fe00ac5.csv),"판매자 B는 관련 인물 C가 실제로 그런 말을 했는지를 묻는다면 맞지만, 그 말의 내용이 사실인지를 묻는다면 아니라고 답한다.","구매자 A는 소문의 존재와 소문의 진위를 분리하고, 진위 판단에 필요한 조직 목적과 후속 행동 근거를 추가로 구매한다.",Yes,"구매자 A가 이미 아는 인물 C를 닻으로 묻자 판매자 B가 자발적으로 소문과 연결하고, 구매자는 곧바로 소문이 사실인지 질문한다.",판매자 B는 소문이 사실이 아닌 근거가 더 고급 정보라고 밝히고 추가 가격 협상으로 넘어간다.,중간,"오해 해소, 정보 공개, 조건부 수락"
사망과 계획 실패의 최종 책임을 지휘관에게 귀속하는 서술 판정,REF-46,서술 판정,2026년 8월 5일,준비,Yes,"직업별 책임자와 하위 파트장 구조가 단순한 업무 위임으로 보이고, 권한을 나누어도 최종 책임은 지휘관에게 남는다는 명령 체계의 기준점이 사라진다.","606화 293,235~293,245행",모든 실패의 최종 책임을 지휘관에게 두고 직업별 총책임자·하위 파트장으로 명령 귀속점을 나누는 장면 (%EB%AA%A8%EB%93%A0%20%EC%8B%A4%ED%8C%A8%EC%9D%98%20%EC%B5%9C%EC%A2%85%20%EC%B1%85%EC%9E%84%EC%9D%84%20%EC%A7%80%ED%9C%98%EA%B4%80%EC%97%90%EA%B2%8C%20%EB%91%90%EA%B3%A0%20%EC%A7%81%EC%97%85%EB%B3%84%20%EC%B4%9D%EC%B1%85%EC%9E%84%EC%9E%90%C2%B7%ED%95%98%EC%9C%84%20%ED%8C%8C%ED%8A%B8%EC%9E%A5%EC%9C%BC%EB%A1%9C%20%EB%AA%85%EB%A0%B9%20%EA%B7%80%EC%86%8D%EC%A0%90%EC%9D%84%20%EB%82%98%203b3baa79eaae8194897ff3b9142aca3c.csv),사람이 죽거나 계획이 어그러지는 등 무언가 잘못되면 최종적으로 모두 지휘관의 책임이라고 판정한다.,지휘관이 기능별 책임자를 세우고 재량권을 나눠도 실패 책임을 하급자에게 완전히 넘길 수 없다는 상위 원칙이 고정된다.,Yes,공개 투표로 지휘권을 인수하고 기존 부지휘자를 재임명해 형식상 권한 구조를 확정한다.,기존 혼합 조의 한계를 검토하고 직업별 총책임자와 연구·조사·전투 등 하위 파트장을 만든다.,중간,"권한 이동, 책임 수용"
지도 100% 완성 뒤 목표 부재를 숨은 공간의 증거로 뒤집는 서술 판정,REF-46,서술 판정,2026년 8월 5일,준비,Yes,"지도 완성이 실패로 끝나거나 막연한 추가 수색으로 이어지고, 기존 공간 모델이 틀렸다는 전제 폐기와 숨은 층 가설의 논리적 도약이 사라진다.","617화 298,001~298,029행",분기 폭증 때문에 직접 경로 추적을 폐기하고 전체 지도를 만든 뒤 목표 부재로 지도 전제를 수정하는 장면 (%EB%B6%84%EA%B8%B0%20%ED%8F%AD%EC%A6%9D%20%EB%95%8C%EB%AC%B8%EC%97%90%20%EC%A7%81%EC%A0%91%20%EA%B2%BD%EB%A1%9C%20%EC%B6%94%EC%A0%81%EC%9D%84%20%ED%8F%90%EA%B8%B0%ED%95%98%EA%B3%A0%20%EC%A0%84%EC%B2%B4%20%EC%A7%80%EB%8F%84%EB%A5%BC%20%EB%A7%8C%EB%93%A0%20%EB%92%A4%20%EB%AA%A9%ED%91%9C%20%EB%B6%80%EC%9E%AC%EB%A1%9C%20%EC%A7%80%EB%8F%84%20%EC%A0%84%EC%A0%9C%EB%A5%BC%203b3baa79eaae81479d47d13860c8a356.csv),"가시 공간의 지도를 모두 완성했는데도 목표가 없다면, 목표가 존재하지 않는 것이 아니라 현 지도에 표시되지 않는 숨은 공간이 있다고 판정한다.","완성 지도의 목표 부재가 탐색 실패가 아니라 지도 모델의 전제 오류를 드러내는 관측값이 되고, 이음새·홈·독립 관찰 단서를 찾는 새 수색으로 전환된다.",Yes,수백 갈래로 분기하는 경로의 직접 역추적을 포기하고 층별로 건물 전체 지도를 완성한다.,단순 경로 재추적 대신 벽의 이음새·홈·과거 카드·별도 관찰자의 비밀문 단서를 결합한다.,중간,"성장 증명, 정보 공개, 한계 인정"
현재 몫을 고정하지 않고 한 사람 몫을 하게 되면 분배율을 다시 열겠다는 조건문,REF-46,대사,2026년 8월 5일,준비,Yes,"최초 분배율이 관계 신분처럼 굳어 버리고, 약한 구성원의 성장이 실제 권리 상승으로 이어질 계약상 통로가 사라진다.","159화 76,717~76,765행",현재 전력·생활 책임·특수 노동을 가격화하고 성장 뒤 재협상 조건과 자산 유형별 가산을 함께 두는 장면 (%ED%98%84%EC%9E%AC%20%EC%A0%84%EB%A0%A5%C2%B7%EC%83%9D%ED%99%9C%20%EC%B1%85%EC%9E%84%C2%B7%ED%8A%B9%EC%88%98%20%EB%85%B8%EB%8F%99%EC%9D%84%20%EA%B0%80%EA%B2%A9%ED%99%94%ED%95%98%EA%B3%A0%20%EC%84%B1%EC%9E%A5%20%EB%92%A4%20%EC%9E%AC%ED%98%91%EC%83%81%20%EC%A1%B0%EA%B1%B4%EA%B3%BC%20%EC%9E%90%EC%82%B0%20%EC%9C%A0%ED%98%95%EB%B3%84%20%EA%B0%80%EC%82%B0%EC%9D%84%20%ED%95%A8%203b3baa79eaae81efb2b7e29267e7b08d.csv),성장 중인 구성원이 실제로 한 사람 몫을 하게 되면 그 시점에 분배율을 다시 정한다.,"현재 기여 차이를 인정하면서도 최초 비율을 영구 신분으로 고정하지 않고, 역할 변화가 확인되면 경제 권리를 다시 여는 계약이 된다.",Yes,"전문직 구성원이 높은 비율을 요구하고, 리더가 현재 팀이 그 노동에 일방적으로 의존하는 구조는 아니라고 반박한다.","일반 전리품과 특수 노동 전리품 비율을 확정하고, 먼 구간에서 성장한 구성원의 몫을 실제로 인상한다.",낮음,"권한 이동, 성장 증명, 조건부 수락"
처분 실무와 최종 사용 결정을 분리해 사용 희망자에게 공동체 납득 사유를 요구하는 문장,REF-46,대사,2026년 8월 5일,준비,Yes,"처분권을 가진 리더가 희귀 소재의 사용권까지 자동으로 독점하게 되고, 공용 자산을 개인화할 때 공동체가 거부하거나 비교할 기준이 사라진다.","447화 220,853~220,857행",위험 자산을 재가공 소재로 바꾸고 리더 개인 욕망을 보류한 채 최종 사용은 공동 정당화에 맡기는 장면 (%EC%9C%84%ED%97%98%20%EC%9E%90%EC%82%B0%EC%9D%84%20%EC%9E%AC%EA%B0%80%EA%B3%B5%20%EC%86%8C%EC%9E%AC%EB%A1%9C%20%EB%B0%94%EA%BE%B8%EA%B3%A0%20%EB%A6%AC%EB%8D%94%20%EA%B0%9C%EC%9D%B8%20%EC%9A%95%EB%A7%9D%EC%9D%84%20%EB%B3%B4%EB%A5%98%ED%95%9C%20%EC%B1%84%20%EC%B5%9C%EC%A2%85%20%EC%82%AC%EC%9A%A9%EC%9D%80%20%EA%B3%B5%EB%8F%99%20%EC%A0%95%EB%8B%B9%ED%99%94%EC%97%90%20%203b3baa79eaae817ca860e0fa0e765e8c.csv),"희귀 소재가 필요한 사람은 누구든 신청할 수 있지만, 최종 사용을 원한다면 구성원 모두가 납득할 이유를 제시해야 한다.","리더는 재가공·보관·처분 실무를 맡되 최종 개인화 권리는 공동체 승인 대상으로 남고, 리더 자신의 욕망도 다른 희망자와 같은 기준에 놓인다.",Yes,추적 위험이 큰 장비를 그대로 팔지 않고 재가공해 공용 소재로 남기기로 한다.,리더는 자신에게 유용한 제작물을 떠올리지만 공금은 집단을 위해 써야 한다고 판단해 선점을 보류한다.,낮음,"권한 이동, 조건부 수락, 책임 수용"
검토 대기 · 20260805 배치 · Micro 인입 색인,REF-01 · REF-02 · REF-03,서술 판정,,검토 필요,Yes,개별 표현 선택의 독립 가치 확인 필요,packets source_material / 134개 공통 job_id,,개별 검토 전 미기입,미확정,Yes,미확정,미확정,높음,
