장면명,REF 코드,관찰 좌표,내부 위치,마지막 검토,상태,식별자 비노출,역할 표기,연결 장면,원문 확보,장면 역할,장면 조건,표면 모방 위험
28화 · 적의 질문을 무시하고 동료와 역할만 확인한 뒤 공격하는 장면,REF-11,"주인공은 적의 질문에 답하지 않고 가족 A에게 침입 목적을 확인한다. 이어 동료 A에게 후방 보호를 부탁하고, 짧은 수락을 받은 뒤 적에게 한마디도 하지 않은 채 선공한다.",28화 9285~9317행,2026년 8월 4일,준비,Yes,"주인공, 적대자 A, 가족 A, 동료 A",14화 첫 임무의 보호 책임 / 48화 조직 권한으로 보호 임무를 부여하는 장면,Yes,"이탈, 핵심","적대자 A가 우세를 과시하며 방문 목적을 캐묻고, 보호 대상이 바로 뒤에 있음",중간
14화 · 조언을 철회하자 상대가 사과와 감사를 동시에 내놓는 장면,REF-11,"주인공은 허락을 구한 뒤 조언하지만 수용되지 않자 담백하게 사과하고 대화를 끝내려 한다. 그 거리두기가 오히려 상대에게 자기 태도를 재평가하게 만들고, 선배 A는 떠나는 순간 사과와 감사를 함께 말한다.",14화 4280~4357행,2026년 8월 4일,준비,Yes,"주인공, 선배 A",13화 조언 수용 장면 / 14화 이후 선배 A의 기술 재검토,Yes,"대비, 핵심, 후속","주인공이 선배 A의 기술 결함을 발견하지만 두 사람은 아직 가까운 사이가 아님, 선배 A는 처음에는 지적을 받아들이기 어려워함",중간
101화 · 창안 무공의 가치가 열람권 제한과 조직 소란으로 증명되는 장면,REF-11,"평가 문사 A는 비급을 읽으며 말없이 책장을 넘기고 충혈된 눈으로 가치를 재평가한다. 이후 조직은 해당 무맥을 상층으로 이관하고 정식 위계 이상에게만 열람권을 허용하며, 접근권 상실이 집단 반발을 일으킨다.",101화 36590~36677행,2026년 8월 4일,준비,Yes,"주인공, 평가 문사 A, 조직 무인들",26~30화 창안과 숙련 검증 / 143화 임시 지휘가 정식 승계 기대가 되는 장면,Yes,"핵심, 후속",주인공이 자기 창안 무공 여러 종을 조직에 증여하고 가치 평가를 요청함,중간
102화 · 동료의 수치와 부담을 대신 떠안아 보고 임무에서 빼주는 장면,REF-11,"주인공은 동료 A에게 쉬라고 명시하지 않고 자신이 보고를 맡겠다고 먼저 말한다. 동료 A는 짧게 감사하고 물러난다. 선배 A는 그 선택이 생존을 위한 최선이었다고 설명하지만, 주인공은 동료가 죽는 편을 원했을 수 있다고 판단해 감정 비용을 별도로 본다.",102화 36678~36745행,2026년 8월 4일,준비,Yes,"주인공, 동료 A, 선배 A",85화 이해하지 못하는 고통 앞의 침묵 / 93화 해결책 없이 곁에 머무는 장면,Yes,"핵심, 후속","동료 A가 본가에서 아무것도 하지 못한 채 돌아왔고, 임무 보고가 그 실패를 다시 말해야 하는 자리임",낮음
137화 · 처음 나온 감사가 가족 치료 정보에 반응해 튀어나오는 장면,REF-11,"주인공은 평소처럼 명령조로 정보를 듣다가, 가족 치료 가능성과 직접 연결된 보상을 알게 되는 순간 처음으로 짧게 감사한다. 동료 A는 그 말 자체를 놀리듯 되묻고, 주인공은 설명 대신 다시 식사를 가져오라고 명한다.",137화 50431~50525행,2026년 8월 4일,준비,Yes,"주인공, 동료 A, 가족 어른 A",102화 동료의 부담을 업무로 덜어주는 장면 / 143화 선배들이 임시 지휘에 감사를 표하는 장면,Yes,"대비, 핵심","가족 어른 A가 생존했으나 무공 회복이 어려운 상태, 동료 A가 몸보신에 필요한 희귀 보상 정보를 알려 줌",낮음
143화 · 임시 지휘의 성공을 선배들이 정식 승계 기대와 감사로 바꾸는 장면,REF-11,"선배 A는 주인공의 임시 지휘가 무사 귀환을 가능하게 했다고 구체적으로 호명한다. 다른 선배들이 공치사를 덧붙이고, 정식 상위 지위가 되면 편하게 말하기 어렵다는 이유로 지금 감사를 전한다. 장면 말미의 침묵은 어색하지 않은 공동체 상태로 제시된다.",143화 52617~52745행,2026년 8월 4일,준비,Yes,"주인공, 선배 A, 선배들, 동료 A",31~32화 공적을 소속 호명과 전황 변화로 굳히는 장면 / 48화 조직 권한으로 보호 명령을 남기는 장면,Yes,"핵심, 후속","조직 최고 전력 일부가 부상한 채 복귀하고, 주인공이 임시 지휘자로 귀환을 책임짐",중간
표면 승패보다 검의 의도와 공공 위험을 우선하는 검객의 연쇄,REF-11,"초반 검객은 자기 검이 상대 무기를 부러뜨렸어도 출수 순서와 의도에서 졌다고 판정하고 상대의 깨달음을 지킨다. 중후반에는 자기 생애를 한 수에 태워 조직의 승전을 공표하고 큰 후유증을 감수한다. 후일 위험한 신병을 문파 소유가 아니라 민생 위험으로 판단해 파괴를 요구하며, 필요 때문에 잠시 사용한 뒤 그 검 없이도 같은 경지를 유지할 가능성을 얻는다.","8화 107~169행, 249~265행 + 670화 217~297행 + 812화 161~185행 + 823화 211~342행 + 824화 65~119행",2026년 8월 4일,준비,Yes,"검객 A, 주인공, 동료 A, 외부 문파 인물들",신분에 민감한 동료가 실용적 독립 판단자로 변하는 장기 연쇄,Yes,"미해결, 선행, 실패, 핵심, 후속","공정한 입문 비무, 조직 붕괴 직전의 결전, 후유증 상태에서 위험한 신병을 둘러싼 임무",낮음
신분에 민감한 동료가 실용적 독립 판단자로 변하는 장기 연쇄,REF-11,"초반에는 출신과 평가에 예민하고 시험에서 인정받을 가능성을 계산한다. 중반에는 무력보다 보호 행동으로 공적을 얻고 큰 신체 비용을 치른다. 후반에는 강자와 정면 대결하지 않고 위험 물건을 회수하며, 동료를 연민하지 않고 본인의 의사와 공공 위험을 기준으로 임무를 계속한다.","7화 139~179행, 215~305행 + 61화 151~229행 + 812화 59~191행",2026년 8월 4일,준비,Yes,"동료 A, 주인공, 검객 A, 적대 강자 A",성과 축하가 동료의 손실 회복 과제로 뒤집혀 다음 목적지를 정하는 연쇄 / 표면 승패보다 검의 의도와 공공 위험을 우선하는 검객의 연쇄,Yes,"대비, 선행, 핵심, 후속","평가 기관 입문 전후의 불안, 보호 임무의 큰 손실, 후반의 압도적 강자와 위험 물건 회수 임무",낮음
독자 선행 정보가 제한 공유를 거쳐 조직 작전으로 공개되는 연쇄,REF-11,"독자는 서장에서 시한을 알지만 작품 내부 정보는 장기간 제한된다. 최고 지위 승계 직후 배제되어 있던 선배가 사실을 알게 되며 관계 상처가 발생하고, 다음 회합에서 사적 시한이 조직 전체의 출정 목표로 전환된다.","1화 13~51행 + 724화 139~151행 + 725화 5~38행, 57~87행, 249~263행",2026년 8월 4일,준비,Yes,"주인공, 선배 지휘자 A, 진단자 A, 조직 수뇌부",성과 축하가 동료의 손실 회복 과제로 뒤집혀 다음 목적지를 정하는 연쇄 / 감당 못할 시간이 숙련의 축복에서 고립의 형벌로 뒤집히는 장면,Yes,"선행, 핵심, 후속","독자에게는 오래전 확정된 시한이지만 핵심 관계자 일부는 모르며, 주인공이 최고 지위와 후사 책임을 동시에 맡은 상태",낮음
성과 축하가 동료의 손실 회복 과제로 뒤집혀 다음 목적지를 정하는 연쇄,REF-11,"전투 성과와 공적 호명 직후 동료의 회복 불능 가능성을 제시하고, 제삼자의 해결 경로가 개인 공적과 동료 회복을 하나의 다음 임무로 묶는다. 화말은 감정 정산이 아니라 목적지 확정으로 닫힌다.",61화 151~233행,2026년 8월 4일,준비,Yes,"주인공, 동료 A, 조언자 A",독자 선행 정보가 제한 공유를 거쳐 조직 작전으로 공개되는 연쇄,Yes,"핵심, 후속",큰 전투가 끝나 공적과 별호가 확정되지만 동료가 중상을 입어 기존 보상의 의미가 흔들림,낮음
흥미 기반 편애를 드러내던 선배가 조직 판단과 가족적 책임을 함께 떠안는 연쇄,REF-11,"초반 선배 지휘자는 신입의 재능과 생동감을 노골적으로 편애하지만 동시에 부대 생존과 조직 체면을 실무적으로 관리한다. 중후반에는 민간 피해와 조직 여력을 기준으로 외부 요구를 거절하고, 후회와 애정을 바탕으로 후배의 삶을 이해한다. 지위 승계 직후 후배의 시한을 알자 체면이 무너지지만 다시 지휘 응답으로 돌아온다.","97화 67~183행 + 151화 93~127행 + 299화 41~127행 + 445화 45~84행 + 716화 23~58행 + 724화 117~151행 + 725화 5~38행, 249~263행",2026년 8월 4일,준비,Yes,"선배 지휘자 A, 주인공, 조직 구성원들",독자 선행 정보가 제한 공유를 거쳐 조직 작전으로 공개되는 연쇄,Yes,"대비, 선행, 핵심, 후속","전투 부대의 선배가 유망한 신입을 오래 지켜본 뒤 최고 전투 직책을 승계하고, 곧바로 그의 시한을 알게 됨",낮음
고통을 자존심의 근거로 삼던 경쟁자가 선택한 소속과 동료 보호를 우선하는 연쇄,REF-11,"초반 경쟁자는 자기 성취의 고통과 출신·연배를 지위 근거로 삼는다. 주인공이 고통을 이해한다고 가장하지 않고 실제 노력만 인정하자 예외가 열린다. 후반에는 치료를 미끼로 한 배신 제안을 거절하고, 선택한 소속의 합공과 동료 보호를 위해 복잡한 역할을 맡는다.",50화 49~125행 + 104화 61~135행 + 582화 11~119행 + 767화 59~159행 + 776화 119~155행,2026년 8월 4일,준비,Yes,"경쟁자 A, 주인공, 동료들, 적대 통치자 A",신분에 민감한 동료가 실용적 독립 판단자로 변하는 장기 연쇄,Yes,"대비, 선행, 핵심, 후속",선천적 고통을 동반한 천재가 패배·입문·배신 회유·대규모 합공을 순차적으로 겪음,낮음
익명 후원과 공개 징계 방어가 훗날 제자의 독립 판정으로 회수되는 연쇄,REF-45,"선의를 설명하기보다 자원 제공·절차 개입·과제 조건을 먼저 보여 주고, 후반 제자가 보호의 의미와 방법의 잘못을 동시에 판정하는 장기 교육선.","1,635~1,695행 / 3,087~3,260행 / 32,400~32,965행 / 175,360~175,457행 / 184,760~184,855행",2026년 8월 4일,준비,Yes,엄격한 교수 / 취약한 제자 / 엘리트 동급생 / 징계 조직,익명 후원→징계 방어→위험한 실전 조건→후반 신뢰 재해석→스승의 방법까지 비판하는 독립 판정,Yes,"선행, 실패, 핵심, 후속","권위자가 약자를 보호하되 난도를 낮추지 않고, 시도할 권리와 실패 뒤 남을 자격을 보존해야 하는 교육 관계.",중간
반복되는 죽음의 증인이 실제 패배와 재대국을 통해 통치 의지를 되살리는 연쇄,REF-45,"권태와 반복을 위로로 즉시 치유하지 않고, 죽음을 기억해 줄 증인·초기화되지 않는 숙련·정직한 패배를 누적해 재도전 욕망을 복원한다.","약 20,070~20,220행 / 65,620~66,245행 / 91,900~91,948행 / 약 177,500~177,590행",2026년 8월 4일,준비,Yes,권태로운 통치자 / 굽히지 않는 교수 / 반복 생의 관찰자,새 과제의 흥미→죽음의 증언 요청→비용을 치른 귀환→반복 속 붕괴→초기화되지 않는 숙련→실제 패배→복기와 재대국→보호의 역전,Yes,"선행, 실패, 핵심, 후속",압도적 권력과 반복 경험 때문에 모든 관계와 자극이 무의미해진 인물에게 장기 목표와 재도전 가능성을 돌려줘야 할 때.,중간
손상된 전문 신뢰가 적대적 질문과 공개 시연을 거쳐 사안별로만 복구되는 연쇄,REF-45,"과거 비위가 있는 전문가의 새 성과를 칭찬으로 복권하지 않고, 반대자의 질문·독립 심사·시연·자기 제한·과오 인정을 서로 다른 증거로 쌓는다.","약 879~1,299행 / 32,101~33,299행 / 36,625~37,283행 / 69,780~70,215행 / 약 175,330행 이후",2026년 8월 4일,준비,Yes,과거 비위가 있는 전문가 / 적대적 경쟁자 / 독립 심사자 / 청문 조직,손상된 평판→새 성과 의심→반대자의 질문 준비→공개 풀이·반론·시연→위험한 성과의 자기 제한→사전 기록 확인→과오 인정→후반 재비난,Yes,"대비, 오해, 핵심, 후속",과거 표절·착취 의혹 때문에 현재 성과를 자기 선언으로 믿게 할 수 없는 전문가가 제한적 신뢰를 다시 얻어야 할 때.,낮음
빼앗긴 업적의 고발이 양쪽 책임 확인과 복수 유산 파괴로 이어지는 연쇄,REF-45,"반전 자료 하나로 화해시키지 않고, 상대의 공로 복원과 과오 인정 뒤 부모 쪽 가해까지 공개하여 후계자가 계승과 단절을 직접 선택하게 한다.","약 879행 / 69,780~70,215행 / 105,700~105,855행 / 121,560~121,825행 / 184,760~184,855행",2026년 8월 4일,준비,Yes,복수를 상속한 제자 / 과거 비위가 있는 교수 / 죽은 부모 / 청문 조직,피해 서사 상속→공개 고발→공동 업적 기록→교수의 과오 인정→부모의 가해·도구화 공개→유산 매개 파괴→혈통 밖의 독립 평가,Yes,"대비, 오해, 핵심, 후속",부모의 원한과 피해 서사를 물려받은 후계자가 어느 한쪽을 완전한 피해자나 악인으로 단순화하지 않고 자기 계보를 선택해야 할 때.,중간
사적 신뢰를 회복한 형제가 공적으로는 암살 협력자 역할을 수행하는 연쇄,REF-45,"공개 장면에서는 배신 증거를 실제로 쌓고, 사적 장면에서는 금지된 가족 호칭·울음·죽지 않았으면 한다는 고백으로 진의를 제한적으로 드러낸다.","12,900~13,190행 / 77,700~77,920행 / 117,650~117,850행 / 178,080~178,900행 / 183,300~183,520행",2026년 8월 5일,준비,Yes,공적 악역이 된 형 / 후계자 동생 / 암살팀 / 진의를 듣는 연구자,최악의 형제 관계→가문 운영 협력→후계 권한 인정→사적 신뢰 회복→내부 세작과 일정 유출→혼자만의 가족 호칭→죽지 않았으면 한다는 고백→보호 장치 해석 촉발,Yes,"미해결, 선행, 오해, 핵심, 후속","가까운 관계의 회복을 공개할 수 없고, 오히려 상대를 살리기 위해 공개 적대 역할을 수행해야 하는 비밀 협력 관계.",중간
책임을 먼저 맡은 임시 지휘가 조직 관할권과 최종 위협의 현실성으로 누적되는 연쇄,REF-45,"직함을 성장 보상으로 나열하지 않고, 누가 책임을 지고 자금·시험·명령·감사·외부 개입을 통제하는지의 반복 행동으로 권력의 실체를 보여 준다.","10,063~10,075행 / 25,551~25,585행 / 31,469~31,481행 / 38,599~53,769행 / 77,623~77,720행 / 92,582~95,980행 / 117,719~118,455행 / 153,307~157,559행 / 164,907~164,999행",2026년 8월 5일,준비,Yes,책임을 선취하는 지휘자 / 부관과 실무자 / 외부 기관 / 교육·군사·연구 조직,상속 권력의 사적 오용→재난 현장 책임 선취→해결 결과→시험·연구·군사·감사 관할 확대→부하 보호와 외부 압력 차단→조직 공포와 파벌 반발→최종 공개 배신의 현실성,Yes,"대비, 선행, 실패, 핵심, 후속","주인공의 권력 성장을 실제 선택권과 책임 변화로 증명하면서, 보호 능력과 독점의 공포를 동시에 남겨야 할 때.",낮음
강요된 약혼을 파기한 뒤 자유 상태에서 수호 관계를 다시 선택하는 연쇄,REF-45,"기존 관계의 감정만 회복하지 않고, 가해자가 혼인·소유 권리를 공식 포기한 뒤 상대가 자기 직업과 새로운 관계 범주를 직접 선택한다.","1,143~1,315행 / 9,975~10,399행 / 73,950~74,155행 / 136,938~142,216행 / 166,037~166,545행 / 180,745~185,121행",2026년 8월 5일,준비,Yes,과거 통제적 약혼자 / 기사 지망자 / 가문 관계자 / 제삼의 조력자,진로 통제와 고립→혼인 강행 포기→이름을 방패로 제공→구명을 위한 모욕과 실제 증오→희생 진실 공개→공식 파혼→자기 삶과 기사 역할 선택→자발적 수호 관계,Yes,"선행, 실패, 오해, 핵심, 후속",오래된 통제와 상처가 있는 연애·약혼 관계에서 진실 공개 뒤 원상복구가 아니라 실제 선택권 반환이 필요할 때.,높음
강요된 약혼의 권리를 돌려준 뒤 자유로운 수호 선택으로 관계가 재분류되는 연쇄,REF-45,"기존 관계를 되살리지 않는다. 가해자가 혼인·소유 권리를 공식 포기하고, 상대가 자유 상태에서 직업과 수호 대상을 다시 선택하는 순서를 본다.","1,143~1,315행 / 9,975~10,399행 / 73,950~74,155행 / 78,080~78,175행 / 136,938~142,216행 / 166,037~166,545행 / 180,745~185,121행",2026년 8월 5일,준비,Yes,과거 통제적 약혼자 / 기사 지망자 / 가문 관계자 / 진실을 전달하는 제삼자,진로 통제와 고립→혼인 강행 포기→이름을 임시 방패로 제공→구명을 위한 모욕과 실제 파열→희생 의도 공개→공식 파혼→자기 직업 선택→자발적 주군–기사 관계,Yes,"선행, 실패, 오해, 핵심, 후속","장기간의 통제와 상처가 있는 연애·약혼 관계에서 진실 공개만으로 재결합하지 않고, 기존 권리를 반환한 뒤 새 관계를 다시 선택해야 할 때.",높음
위기 책임을 먼저 짊어진 임시 지휘가 조직 관할권과 최종 위협의 현실성으로 누적되는 연쇄,REF-45,"직함의 나열보다 누가 자금을 승인하고, 현장 지휘자를 정하며, 외부 기관을 물리고, 부하 대신 책임지는지로 실제 권한 변화를 읽는다.","10,063~10,075행 / 25,551~25,585행 / 31,469~31,481행 / 35,157~35,215행 / 38,599~42,935행 / 44,989~53,769행 / 77,623~77,720행 / 92,582~95,980행 / 117,719~118,455행 / 125,469~125,725행 / 153,307~157,559행 / 164,907~164,999행",2026년 8월 5일,준비,Yes,귀족 교수 / 황제 / 부관 / 연구·교육·군사 조직 / 외부 수사기관,상속 권력의 사적 오용→위기 지휘와 책임 선취→해결 결과→시험·연구·군사·요새·감사 관할 확대→부하 보호와 외부 압력 차단→내부 공포와 파벌 반발→최종 배신의 물적 신뢰성,Yes,"대비, 선행, 실패, 핵심, 후속",주인공의 권력 성장을 단순 승진 보상이 아니라 실제 선택권·책임·보호 능력과 결말의 위협 가능성으로 연결해야 할 때.,낮음
전승 성공 뒤 빠진 경계가 제자의 과잉 행동으로 되돌아오는 장면,REF-46,교육의 성과를 먼저 안도하게 한 뒤 전리품과 구호를 공개해 같은 가르침이 집단 전체 적대로 과잉 일반화됐음을 뒤늦게 드러낸다.,"151화 73,253~73,364행",2026년 8월 5일,준비,Yes,"주인공, 제자 A, 어린 구성원들",기존 지도자와 교육권이 충돌하는 장면 / 종족 전체 적대 교육을 수정하는 장면,Yes,"대비, 실패, 후속",생존 교육을 받은 제자 A가 더 어린 구성원을 가르치는 위치에 올랐지만 가르침의 적용 경계는 전달되지 않음,높음
금기 발화의 처벌과 집단 무반응을 보고 현지 역할을 수행하는 장면,REF-46,처벌을 본 뒤 집단의 태도를 표본으로 삼아 표정과 반응을 맞춘다. 규칙 설명보다 집단 행동이 먼저 생존 규범을 확정한다.,2화 301~417행,2026년 8월 5일,준비,Yes,"주인공, 동류 A, 집단 지도자, 신입 구성원들",낯선 동행자를 시험하는 장면 / 가까운 동료가 현재 인격을 판정하는 장면,Yes,"선행, 핵심",정체가 드러나면 즉시 처벌되는 집단에 들어왔고 주인공은 현지 규범을 알지 못함,높음
실용 교육이 기존 권력의 누락 책임과 역할 자청으로 바뀌는 장면,REF-46,실전 정보를 충분히 가르친 뒤 기존 권력자를 등장시킨다. 주인공은 변명 대신 사망률·장비·교육 부재를 질문하고 자신이 책임을 맡겠다고 선언한다.,"153~154화 74,113~74,389행",2026년 8월 5일,준비,Yes,"주인공, 제자 A, 어린 구성원들, 지도자 A",교육의 과잉 전승 장면 / 기존 지도자가 조건부 권한을 넘기는 장면,Yes,핵심,실전 생존 지식을 가르치던 중 기존 지도자 A가 현장을 목격하고 교육 내용이 전통과 지도 책임을 건드림,높음
무해한 집단 역할로 빈틈을 보이며 낯선 동행자의 행동을 기다리는 장면,REF-46,"잠든 척하는 연기가 상대의 행동을 끌어내지만, 한 번의 신뢰 판정 뒤에도 경계 비용이 남는다. 같은 연기가 반복될 때 실제 습격을 감지한다.","6~7화 2,513~3,063행",2026년 8월 5일,준비,Yes,"주인공, 동행자 A",금기 처벌 뒤 역할 수행을 시작하는 장면 / 가까운 동료에게 전형적 연기가 통하지 않는 장면,Yes,"대비, 실패",낯선 사람과 서로 잠을 맡기는 임시 거래가 필요하지만 양쪽 모두 상대를 온전히 믿지 못함,높음
공개 도전 조건을 사회적 사실로 만든 뒤 과잉 교육의 경계를 수정하는 장면,REF-46,새 지위는 군중 앞에서 도전 조건을 말해 고정한다. 이어 희생한 외부 동료 사례로 집단 분류보다 행동 기준을 우선하도록 기존 교육을 수정한다.,"154화 74,581~74,665행",2026년 8월 5일,준비,Yes,"주인공, 동료 A, 제자 A, 집단 구성원들, 사망한 외부 동료 B",교육의 과잉 전승 장면 / 조건부 교육권 이양 장면,Yes,"실패, 후속",조건부 교육권을 얻었지만 기존 교육은 외부 집단 전체에 대한 증오로 확장될 위험이 이미 드러남,중간
정체 의심을 누적 행동의 반증과 후속 경고로 재분류하는 장면,REF-46,가까운 동료는 전형적 분노 연기를 간파한다. 의심 근거와 반증 행동을 차례로 제시해 현재의 사람을 판정한 뒤 노출 위험을 경고한다.,"150화 72,483~72,717행",2026년 8월 5일,준비,Yes,"주인공, 동료 A, 잠든 동료들",금기 처벌 뒤 역할 수행을 시작하는 장면 / 교육이 과잉 전승되는 장면,Yes,"미해결, 핵심, 후속",동료 A가 주인공의 비정상적 지식과 행동을 의심하지만 장기간 함께한 행동 기록도 알고 있음,높음
기존 권력이 전면 굴복 없이 권한·금지선·도전 조건을 함께 넘기는 장면,REF-46,기존 지도자는 전면 사과하거나 자리를 넘기지 않는다. 실패와 제약을 공개하고 교육 유효성을 인정하되 금지선·감시·도전 조건을 붙인다.,"154화 74,393~74,579행",2026년 8월 5일,준비,Yes,"주인공, 지도자 A",실용 교육이 지도 책임 충돌로 바뀌는 장면 / 과잉 교육의 경계를 수정하는 장면,Yes,"대비, 후속",주인공이 공개적으로 지도자 자리를 원한다고 선언했고 물리적 충돌까지 벌였으나 집단 생존 문제에는 일부 공통 인식이 있음,중간
