REF 코드,감사 메모,구간 공백,근거 스레드,기능 공백,다음 자유 질문,독해 상태,비정사,원천 경계,원천 레지스트리,확인 원문 창,확인된 기능
REF-06,원문 검색 가능. 경계는 준정확이므로 인용 전 주변 문맥 재확인,전 범위 의미 독해 미착수,,전작 엔진·사건·세계·인물·관계·대사 수용·지문·장기 누적 전부,작품의 반복되는 선택과 표현은 누구의 기대를 만들고 어디서 배반하는가?,INDEXED,Yes,near-exact,REF-06 (https://app.notion.com/p/REF-06-508baa79eaae831c969e81bc105a6361?pvs=21),경계 색인만 완료,의미 단위 직접 독해 미착수
REF-12,원문 검색 가능. 의미 증거 스레드 없음,전 범위 의미 독해 미착수,,전작 엔진·사건·세계·인물·관계·대사 수용·지문·장기 누적 전부,시점과 문단 호흡은 인물의 판단과 독자의 정보량을 어떻게 함께 조절하는가?,INDEXED,Yes,exact,REF-12 (https://app.notion.com/p/REF-12-4b7baa79eaae83468d7c01fe5016aead?pvs=21),경계 색인만 완료,의미 단위 직접 독해 미착수
REF-09,원문은 열리지만 경계 미해결. 정밀 위치를 단정하지 말 것,회차 경계 미해결. 먼저 작품 자체의 장면·사건 전환으로 탐색 창을 재구성해야 함,,전작 엔진·사건·세계·인물·관계·대사 수용·지문·장기 누적 전부,회차 번호가 아니라 사건과 관계의 실제 전환점은 어디에 생기는가?,INDEXED,Yes,unresolved,REF-09 (https://app.notion.com/p/REF-09-f99baa79eaae8343873181b74af28b9c?pvs=21),전체 텍스트 색인만 완료,의미 단위 직접 독해 미착수
REF-08,"exact 경계 원문을 초기 제작, 정책 설계, 중반 사물 확장, 후기 외교·정보 조직에서 대조했다. 장점과 함께 초기 비용 질문이 후반 효율 서술에서 약해지는 반례를 남겼으며, 5개 스레드 모두 V3.1 비정사 연구층에만 기록했다.",U0001 · U0005~0035 · U0038~0449 · U0451~0909 · U0911~0914의 연속 변화와 최종 종결. 후기 창은 전작 결말이 아님.,"TH-REF08-ENG-01 · 전문성은 제약과 실패를 처리하는 방식으로 증명된다 (https://app.notion.com/p/TH-REF08-ENG-01-49cbaa79eaae8397b12201681da800ef?pvs=21), TH-REF08-ORG-01 · 아이디어가 타인의 이해를 거쳐 제도가 된다 (https://app.notion.com/p/TH-REF08-ORG-01-6bebaa79eaae82e7860e015d30d6dbcf?pvs=21), TH-REF08-REL-01 · 질문 난이도와 책임 이동이 협업 관계를 바꾼다 (https://app.notion.com/p/TH-REF08-REL-01-286baa79eaae832381a881b66d6579ea?pvs=21), TH-REF08-WLD-01 · 발명은 보완재와 새 사용자를 연쇄 호출한다 (https://app.notion.com/p/TH-REF08-WLD-01-f69baa79eaae835e8f2b0147dc07b593?pvs=21), TH-REF08-RES-01 · 제도 성공은 비용을 진 사람을 가릴 수 있다 (https://app.notion.com/p/TH-REF08-RES-01-d28baa79eaae83c8ae7d0169ab542c3b?pvs=21)","발명·정책별 실패와 폐기 전사, 계층별 편익·노동 비용, 권력 집중 뒤 질문과 거부권, 조직 구성원의 이탈·후유증, 주인공 오판이 후기 판단을 바꾸는지","주인공의 아이디어가 제도로 독립한 뒤 목적을 훼손하거나 사람을 소모할 때, 누가 중지권·수정권·비용 발언권을 실제로 행사하는가?",PARTIAL_READING,Yes,exact,REF-08 (https://app.notion.com/p/REF-08-736baa79eaae8216b39f01ee4a4ab92e?pvs=21),U0002~0004 · U0036~0037 · U0450 · U0910 · U0915,"제약·실패로 증명되는 전문성, 타인의 이해·비판·시험을 거치는 제도화, 질문 난이도와 책임 이동의 관계 변화, 발명과 보완재·사용자의 연쇄, 제도 성공이 비용 담당자를 가리는 내부 반례"
REF-21,원문 검색 가능. 경계는 준정확이므로 인용 전 주변 문맥 재확인,전 범위 의미 독해 미착수,,전작 엔진·사건·세계·인물·관계·대사 수용·지문·장기 누적 전부,주요 관계는 사건을 통과할 때 어떤 기대·채무·금기를 새로 축적하는가?,INDEXED,Yes,near-exact,REF-21 (https://app.notion.com/p/REF-21-652baa79eaae837ba695016f81a3a0d7?pvs=21),경계 색인만 완료,의미 단위 직접 독해 미착수
REF-05,"U0001-U0912의 source-explicit 회차 경계를 직접 확인했다. 초·중·후반 의미 창을 대조했으며, 지식 수정·파티 권한·관계 시험·캐릭터 재분류·사건 잔여를 확인했다. 저장본 최신 경계는 작품 종결로 간주하지 않는다.","U0004-0049, U0051-0299, U0301-0599, U0601-0849, U0851-0911의 연속 독해가 남음. 후기 비전투·정치 관계에서 오답 수정과 동료 독립성이 유지되는지 미확인.","TH-REF05-KNW-01 · 지식 우위가 오답과 수정 비용을 통과한다 (https://app.notion.com/p/TH-REF05-KNW-01-988baa79eaae82a6a97981111bc986e5?pvs=21), TH-REF05-GRP-01 · 역할 분담이 자원·안전·발언권으로 변한다 (https://app.notion.com/p/TH-REF05-GRP-01-62bbaa79eaae82b1847f813bda15db84?pvs=21), TH-REF05-REL-01 · 위험한 비밀과 도덕 이견이 관계 권리를 바꾼다 (https://app.notion.com/p/TH-REF05-REL-01-fbabaa79eaae831a8e2d8104dcda3372?pvs=21), TH-REF05-CHR-01 · 대상이 현재 선택을 가진 사람으로 재분류된다 (https://app.notion.com/p/TH-REF05-CHR-01-de5baa79eaae838f9b888146cf2db94b?pvs=21), TH-REF05-RES-01 · 실패·이탈·손실이 다음 집단 선택에 남는다 (https://app.notion.com/p/TH-REF05-RES-01-74fbaa79eaae832aa74c010657992348?pvs=21)","비전투 협상에서의 대사 수용 변화, 장기 관계 파열 뒤 권한 회수, 후기 조연 독립 욕망, 상실의 정서 잔여와 시스템 학습의 비율, 최신 경계 이후 추적.","후기 규모가 커질수록 동료가 기술 슬롯과 원격 지원으로 평탄화되는가, 아니면 주인공의 공략 모델을 거부·수정할 독립 권한을 유지하는가?",PARTIAL_READING,Yes,exact,REF-05 (https://app.notion.com/p/REF-05-e1ebaa79eaae8383aaab013ccd8804ed?pvs=21),"U0001-0003, U0050, U0300, U0600, U0850, U0912","지식 가설의 실패·수정, 역할 분담의 자원·안전·발언권화, 위험 비밀과 도덕 이견에 따른 관계 권리 변화, 미래 효용에서 현재 선택 주체로의 재분류, 실패·이탈·손실의 후속 선택 잔여, 후기 시스템 열거에 의한 집단 평탄화 반례."
REF-13,원문 검색 가능. 의미 증거 스레드 없음,전 범위 의미 독해 미착수,,전작 엔진·사건·세계·인물·관계·대사 수용·지문·장기 누적 전부,한 사건의 결과가 세계·조직·관계의 다음 선택으로 어떻게 전파되는가?,INDEXED,Yes,exact,REF-13 (https://app.notion.com/p/REF-13-718baa79eaae83e3884c81f53a9714b7?pvs=21),경계 색인만 완료,의미 단위 직접 독해 미착수
REF-14,원문은 열림. 위치는 부분 경계이므로 숫자만으로 단정하지 말 것,경계 부분 인식. 탐색 전후 문맥을 넓게 열어 확인해야 함,,전작 엔진·사건·세계·인물·관계·대사 수용·지문·장기 누적 전부,불완전한 경계 안에서도 반복되는 사건·인물·표현의 실제 묶음은 무엇인가?,INDEXED,Yes,partial,REF-14 (https://app.notion.com/p/REF-14-417baa79eaae834f9e33012854125e00?pvs=21),부분 경계 색인만 완료,의미 단위 직접 독해 미착수
REF-20,원문 검색 가능. 경계는 준정확이므로 인용 전 주변 문맥 재확인,전 범위 의미 독해 미착수,,전작 엔진·사건·세계·인물·관계·대사 수용·지문·장기 누적 전부,작품의 핵심 긴장은 어떤 반복을 통해 커지고 어떤 변주에서 새 의미를 얻는가?,INDEXED,Yes,near-exact,REF-20 (https://app.notion.com/p/REF-20-cc9baa79eaae8293989981038a7c5278?pvs=21),경계 색인만 완료,의미 단위 직접 독해 미착수
REF-15,원문 검색 가능. 경계는 준정확이므로 인용 전 주변 문맥 재확인,전 범위 의미 독해 미착수,,전작 엔진·사건·세계·인물·관계·대사 수용·지문·장기 누적 전부,작품이 장기적으로 보존하는 약속과 매번 새로 바꾸는 압력은 무엇인가?,INDEXED,Yes,near-exact,REF-15 (https://app.notion.com/p/REF-15-cd4baa79eaae83ffb41601ea31686654?pvs=21),경계 색인만 완료,의미 단위 직접 독해 미착수
REF-19,원문 직접 대조 증거 스레드 5개 생성. 2개는 먼 재등장까지 확인했으나 전작 검증은 아님,선정 단위 사이 대부분과 복원 단위 182 이후. 경계가 준정확이므로 인용 전 주변 재확인 필요,"TH-REF19-DLG-01 · 제도적 문장의 이중 기능 (https://app.notion.com/p/TH-REF19-DLG-01-e61baa79eaae8348902481f7070cf2ab?pvs=21), TH-REF19-DLG-02 · 선택을 묻는 척 거래를 설계하기 (https://app.notion.com/p/TH-REF19-DLG-02-14cbaa79eaae82b5b75001239a392adc?pvs=21), TH-REF19-DLG-03 · 농담·물건·침묵이 함께 정하는 정보 가격 (https://app.notion.com/p/TH-REF19-DLG-03-c06baa79eaae82be87d381d435840bf6?pvs=21), TH-REF19-DLG-04 · 유머가 질문의 잔여를 지우지 않는 법 (https://app.notion.com/p/TH-REF19-DLG-04-b59baa79eaae8247a854017bba5a07bf?pvs=21), TH-REF19-DLG-05 · 호칭 농담이 누적 관계를 증명하는 순간 (https://app.notion.com/p/TH-REF19-DLG-05-281baa79eaae820482b001a17b7543de?pvs=21)",전작 엔진·주요 사건 사슬·주인공 변화 전사·다른 인물 관계망·대사 외 시점·지문 폭·실패하는 조종·종결 상환,"초반의 공적 명분/사적 의도 간극이 가까운 관계에서는 거래·농담·호칭으로 어떻게 달라지고, 숨은 정체가 드러날 때 어떤 비용으로 상환되는가?",PARTIAL_READING,Yes,near-exact,REF-19 (https://app.notion.com/p/REF-19-4dbbaa79eaae8239b6f48153fb46987e?pvs=21),복원 단위 1 · 91 · 173~174 · 177 · 181,"제도 언어의 강제 기능, 질문으로 거래 조건 설계, 농담·물건·침묵의 정보 가격 정산, 회피된 질문의 잔여, 호칭 농담의 관계 누적"
REF-07,원문 검색 가능. 경계는 준정확이므로 인용 전 주변 문맥 재확인,전 범위 의미 독해 미착수,,전작 엔진·사건·세계·인물·관계·대사 수용·지문·장기 누적 전부,작품 고유의 재미가 어떤 사건·인물·관계의 반복과 변형에서 생기는가?,INDEXED,Yes,near-exact,REF-07 (https://app.notion.com/p/REF-07-409baa79eaae823fbf9501e3c12c68a5?pvs=21),경계 색인만 완료,의미 단위 직접 독해 미착수
REF-24,현재 V3.1 증거 스레드 5개. 단일 작품 근거이므로 공용 검증으로 간주하지 않음,선정 창 사이와 이후 전 범위. 동일 관계 외 다른 청자·집단·종결부,"TH-REF24-DLG-05 · 청자별 수용 분기와 후속 행동 (https://app.notion.com/p/TH-REF24-DLG-05-8f0baa79eaae831796c681d9b5bf6421?pvs=21), TH-REF24-DLG-04 · 발화 내용과 수용 의미의 분리 (https://app.notion.com/p/TH-REF24-DLG-04-0acbaa79eaae82fa858d816f00e835fb?pvs=21), TH-REF24-DLG-03 · 농담 뒤 진심과 행동 정산 (https://app.notion.com/p/TH-REF24-DLG-03-30abaa79eaae8378882b81d0b768ee52?pvs=21), TH-REF24-DLG-01 · 농담형 공방의 층위 (https://app.notion.com/p/TH-REF24-DLG-01-256baa79eaae838293f181b2ebb42627?pvs=21), TH-REF24-DLG-02 · 반복 농담의 관계 변주 (https://app.notion.com/p/TH-REF24-DLG-02-847baa79eaae83648bf501d25a33dcb9?pvs=21)","전작 엔진, 사건 인과, 인물 변화 전사, 다른 관계망, 시점·지문 전체 폭, 실패 반례","선정 관계 밖에서도 발화 수용이 사건과 관계를 바꾸는가, 지문은 그 차이를 어떻게 체화하는가?",PARTIAL_READING,Yes,near-exact,REF-24 (https://app.notion.com/p/REF-24-11cbaa79eaae827e806701b29b71afd1?pvs=21),8~10 · 79~83 · 139~140 · 162~163 · 228,"발화 의도와 수용 의미, 반복 농담의 관계 변주, 진심·행동 정산, 청자별 후속 행동"
